#,Switch A Rise Delay,Switch A Fall Delay,Switch B Rise Delay, Switch B Fall Delay
1,1.211824000282434e-10,8.821761506080952e-11,1.7654555569986172e-10,1.1388576949773746e-10
2,1.4676066469457264e-10,1.0588894172550431e-10,2.0301947365906436e-10,1.317397993318297e-10
4,1.9911045659001217e-10,1.4217357655056333e-10,2.560535762155242e-10,1.6807103666862014e-10
