/net3 X,/net3 Y,/net8 X,/net8 Y,/04 X,/04 Y
0,5,0,1.809120736435182e-08,0,4.999999981632027
1e-11,5,1e-11,1.809120410706338e-08,1e-11,4.999999981632012
3e-11,5,3e-11,1.809120088352744e-08,3e-11,4.999999981631992
6.999999999999999e-11,5,6.999999999999999e-11,1.809119916476458e-08,6.999999999999999e-11,4.99999998163197
1.5e-10,5,1.5e-10,1.809120202121766e-08,1.5e-10,4.999999981631959
2.5e-10,5,2.5e-10,1.809120595021908e-08,2.5e-10,4.99999998163196
3.5e-10,5,3.5e-10,1.809120538739834e-08,3.5e-10,4.999999981631961
4.5e-10,5,4.5e-10,1.80912060343912e-08,4.5e-10,4.999999981631961
5.5e-10,5,5.5e-10,1.809120571512003e-08,5.5e-10,4.999999981631962
6.499999999999999e-10,5,6.499999999999999e-10,1.809120634197433e-08,6.499999999999999e-10,4.999999981631962
7.499999999999999e-10,5,7.499999999999999e-10,1.809120556497802e-08,7.499999999999999e-10,4.999999981631962
8.499999999999999e-10,5,8.499999999999999e-10,1.809120618127356e-08,8.499999999999999e-10,4.999999981631962
9.25e-10,5,9.25e-10,1.809120528993274e-08,9.25e-10,4.999999981631962
1e-09,5,1e-09,1.809120548714e-08,1e-09,4.999999981631961
1.000458430167902e-09,4.977078491604921,1.000458430167902e-09,-0.001792027372212998,1.000458430167902e-09,4.999621617249356
1.000810094007167e-09,4.95949529964164,1.000810094007167e-09,-0.003162527737957705,1.000810094007167e-09,4.999334367790695
1.001513421685698e-09,4.92432891571508,1.001513421685698e-09,-0.005887236193666981,1.001513421685698e-09,4.998771563172268
1.00266162715523e-09,4.866918642238499,1.00266162715523e-09,-0.01028653344305274,1.00266162715523e-09,4.997887524648664
1.004958038094293e-09,4.752098095285338,1.004958038094293e-09,-0.01890666320734465,1.004958038094293e-09,4.996243747017492
1.00955085997242e-09,4.522457001379017,1.00955085997242e-09,-0.03548981751513821,1.00955085997242e-09,4.9934017475082
1.011126944702968e-09,4.44365276485162,1.011126944702968e-09,-0.04104237085124075,1.011126944702968e-09,4.992544225771487
1.01256800538858e-09,4.371599730571027,1.01256800538858e-09,-0.04625061667034222,1.01256800538858e-09,4.991768834636898
1.01354176751493e-09,4.32291162425349,1.01354176751493e-09,-0.05004677697013114,1.01354176751493e-09,4.991205832257812
1.014453382909754e-09,4.277330854512307,1.014453382909754e-09,-0.05392993219947224,1.014453382909754e-09,4.990624142341241
1.015438170742442e-09,4.228091462877901,1.015438170742442e-09,-0.05843488163584883,1.015438170742442e-09,4.989948029533356
1.01683765891803e-09,4.15811705409851,1.01683765891803e-09,-0.06505240841382841,1.01683765891803e-09,4.988975718682385
1.017831518022653e-09,4.108424098867373,1.017831518022653e-09,-0.06971201853444797,1.017831518022653e-09,4.988318053050769
1.018812100983222e-09,4.059394950838914,1.018812100983222e-09,-0.07418893433830702,1.018812100983222e-09,4.987713720004943
1.020098645374696e-09,3.995067731265185,1.020098645374696e-09,-0.07981292474928599,1.020098645374696e-09,4.987000079545146
1.021793121469557e-09,3.910343926522155,1.021793121469557e-09,-0.08671022055150501,1.021793121469557e-09,4.98620801766663
1.023930386219698e-09,3.803480689015122,1.023930386219698e-09,-0.09449095608472062,1.023930386219698e-09,4.985455659878072
1.02655975546952e-09,3.672012226523983,1.02655975546952e-09,-0.102541575548885,1.02655975546952e-09,4.984907461773056
1.029663793149671e-09,3.516810342516464,1.029663793149671e-09,-0.1097457011392323,1.029663793149671e-09,4.98478385314393
1.033214264869197e-09,3.339286756540165,1.033214264869197e-09,-0.114782141561475,1.033214264869197e-09,4.985306214782885
1.037266272206939e-09,3.136686389653033,1.037266272206939e-09,-0.1162078212663686,1.037266272206939e-09,4.986707978713541
1.041983853200735e-09,2.900807339963264,1.041983853200735e-09,-0.111940006273018,1.041983853200735e-09,4.98931795184155
1.047762937152483e-09,2.611853142375831,1.047762937152483e-09,-0.09793080812291446,1.047762937152483e-09,4.99376560681755
1.055536489556826e-09,2.223175522158707,1.055536489556826e-09,-0.06371468367866996,1.055536489556826e-09,5.00163512767426
1.064762894172421e-09,1.761855291378931,1.064762894172421e-09,0.0003592067440470141,1.064762894172421e-09,5.013655644018789
1.071389786044713e-09,1.430510697764347,1.071389786044713e-09,0.06193225977784467,1.071389786044713e-09,5.02351488356409
1.073885644182762e-09,1.305717790861917,1.073885644182762e-09,0.08889916917108687,1.073885644182762e-09,5.027548768737188
1.076784143765052e-09,1.1607928117474,1.076784143765052e-09,0.1234370925268715,1.076784143765052e-09,5.032554466609708
1.079236269789183e-09,1.038186510540837,1.079236269789183e-09,0.1560399639721618,1.079236269789183e-09,5.037183060464426
1.081226878094285e-09,0.9386560952857321,1.081226878094285e-09,0.1846163575474828,1.081226878094285e-09,5.041152661819284
1.084058187103244e-09,0.7970906448377946,1.084058187103244e-09,0.2286541947735255,1.084058187103244e-09,5.047130584011883
1.088185382532568e-09,0.590730873371605,1.088185382532568e-09,0.2986528845996783,1.088185382532568e-09,5.056211734323585
1.091079091707229e-09,0.4460454146385517,1.091079091707229e-09,0.3510548300838617,1.091079091707229e-09,5.062660577531844
1.094045486702495e-09,0.2977256648752284,1.094045486702495e-09,0.4075030362810317,1.094045486702495e-09,5.069318081081715
1.097022743351248e-09,0.1488628324376124,1.097022743351248e-09,0.4668608057474299,1.097022743351248e-09,5.076035967957301
1.1e-09,0,1.1e-09,0.5288409972936361,1.1e-09,5.082778888384214
1.100619932993724e-09,0,1.100619932993724e-09,0.5449312325001239,1.100619932993724e-09,5.084795606033749
1.101274265641614e-09,0,1.101274265641614e-09,0.5618644514894817,1.101274265641614e-09,5.086887996240999
1.102088493735097e-09,0,1.102088493735097e-09,0.5828336817320413,1.102088493735097e-09,5.089422649403619
1.103716949922061e-09,0,1.103716949922061e-09,0.6244111947038573,1.103716949922061e-09,5.094255049127689
1.106973862295991e-09,0,1.106973862295991e-09,0.706162525914936,1.106973862295991e-09,5.103049252642716
1.113487687043851e-09,0,1.113487687043851e-09,0.8630107958192269,1.113487687043851e-09,5.117854724307366
1.117995235221433e-09,0,1.117995235221433e-09,0.963076920089152,1.117995235221433e-09,5.126401466508343
1.121889846246855e-09,0,1.121889846246855e-09,1.04519403217763,1.121889846246855e-09,5.13198073773824
1.126984246913552e-09,0,1.126984246913552e-09,1.149224267908819,1.126984246913552e-09,5.135739052376994
1.131678892115342e-09,0,1.131678892115342e-09,1.242364807190642,1.131678892115342e-09,5.135465482550199
1.138965443059043e-09,0,1.138965443059043e-09,1.382384028359312,1.138965443059043e-09,5.128230734351287
1.143055205182913e-09,0,1.143055205182913e-09,1.458709029148454,1.143055205182913e-09,5.120718705778494
1.151234729430653e-09,0,1.151234729430653e-09,1.606988457322884,1.151234729430653e-09,5.099013958559236
1.156972327419084e-09,0,1.156972327419084e-09,1.707682257707652,1.156972327419084e-09,5.078827194559
1.168447523395946e-09,0,1.168447523395946e-09,1.901149221171327,1.168447523395946e-09,5.027576206526275
1.17654864772273e-09,0,1.17654864772273e-09,2.03169588250371,1.17654864772273e-09,4.98399972592077
1.192750896376298e-09,0,1.192750896376298e-09,2.277232979310281,1.192750896376298e-09,4.880665512908308
1.198337702420234e-09,0,1.198337702420234e-09,2.35648821797214,1.198337702420234e-09,4.838990463484939
1.209511314508106e-09,0,1.209511314508106e-09,2.507023525202948,1.209511314508106e-09,4.746210329765213
1.219077973444793e-09,0,1.219077973444793e-09,2.628066151436533,1.219077973444793e-09,4.655914147434487
1.225671474961571e-09,0,1.225671474961571e-09,2.707742213187037,1.225671474961571e-09,4.586942877766114
