#,Switch A Rise,Switch A Fall,Switch B Rise, Switch B Fall
1,2.458279669981221e-10,3.734380826011526e-10,2.356942069575575e-10,2.0953496752234117e-10
2,3.0613785946143606e-10,4.418185054893897e-10,2.9647436928973717e-10,2.8187087736553e-10
4,4.2217601497777305e-10,5.742073719181064e-10,4.135627177773511e-10,4.1786489466166083e-10
