a,Switch A Rise,Switch A Fall,Switch B Rise, Switch B Fall
1,2.1542503222621035e-10,1.808694332065716e-10,3.1531063295596046e-10,1.826791105698927e-10
2,2.872393875032462e-10,2.349540369430098e-10,3.8345251556871137e-10,2.3685551549730835e-10
4,4.2126884538360424e-10,3.3678096359040504e-10,5.155839708980806e-10,3.3907266409004956e-10
