/net3 X,/net3 Y,/net8 X,/net8 Y,/O X,/O Y
0,5,0,1.413849256083952e-08,0,4.999999981632027
1e-11,5,1e-11,1.413849121749625e-08,1e-11,4.999999981632012
3e-11,5,3e-11,1.413849008046125e-08,3e-11,4.999999981631993
6.999999999999999e-11,5,6.999999999999999e-11,1.413848999226359e-08,6.999999999999999e-11,4.999999981631972
1.5e-10,5,1.5e-10,1.413849141203334e-08,1.5e-10,4.999999981631959
2.5e-10,5,2.5e-10,1.413849235139264e-08,2.5e-10,4.999999981631959
3.5e-10,5,3.5e-10,1.413849234053834e-08,3.5e-10,4.999999981631961
4.5e-10,5,4.5e-10,1.413849173358975e-08,4.5e-10,4.999999981631962
5.5e-10,5,5.5e-10,1.413849225164594e-08,5.5e-10,4.999999981631962
6.499999999999999e-10,5,6.499999999999999e-10,1.413849170160522e-08,6.499999999999999e-10,4.999999981631962
7.499999999999999e-10,5,7.499999999999999e-10,1.413849172353085e-08,7.499999999999999e-10,4.999999981631962
8.499999999999999e-10,5,8.499999999999999e-10,1.41384918108065e-08,8.499999999999999e-10,4.999999981631962
9.25e-10,5,9.25e-10,1.413849242653862e-08,9.25e-10,4.999999981631962
1e-09,5,1e-09,1.413849136537661e-08,1e-09,4.999999981631962
1.000720821860357e-09,4.963958906982128,1.000720821860357e-09,-0.002051033278493092,1.000720821860357e-09,4.999570279496987
1.001253280055772e-09,4.937335997211414,1.001253280055772e-09,-0.003555865424408768,1.001253280055772e-09,4.999258540279316
1.0023181964466e-09,4.884090177669984,1.0023181964466e-09,-0.006525606586575522,1.0023181964466e-09,4.998656917717526
1.003610143624309e-09,4.819492818784562,1.003610143624309e-09,-0.01005432409577203,1.003610143624309e-09,4.997967149462652
1.006194037979726e-09,4.690298101013717,1.006194037979726e-09,-0.01687502736312932,1.006194037979726e-09,4.996712736495699
1.010595115430341e-09,4.470244228482944,1.010595115430341e-09,-0.02782083412899634,1.010595115430341e-09,4.994917947261561
1.013357726025359e-09,4.332113698732031,1.013357726025359e-09,-0.03428841081590681,1.013357726025359e-09,4.993990194161949
1.01535869070943e-09,4.232065464528521,1.01535869070943e-09,-0.03879274955960092,1.01535869070943e-09,4.993403983000505
1.017150068110253e-09,4.142496594487342,1.017150068110253e-09,-0.04270565784277565,1.017150068110253e-09,4.992934203220787
1.019379875409146e-09,4.031006229542699,1.019379875409146e-09,-0.04742942500313431,1.019379875409146e-09,4.992414678153788
1.021101806758471e-09,3.944909662076474,1.021101806758471e-09,-0.05097195931514101,1.021101806758471e-09,4.992059113024483
1.023450372337302e-09,3.827481383134881,1.023450372337302e-09,-0.05566650981244936,1.023450372337302e-09,4.991631660324231
1.026681427991061e-09,3.665928600446935,1.026681427991061e-09,-0.06188961886635851,1.026681427991061e-09,4.991139020145785
1.030332539464533e-09,3.483373026773356,1.030332539464533e-09,-0.06863091873006498,1.030332539464533e-09,4.990696332463617
1.034261890496788e-09,3.286905475160605,1.034261890496788e-09,-0.07559051198667413,1.034261890496788e-09,4.99033178716275
1.038450028123681e-09,3.077498593815943,1.038450028123681e-09,-0.08273185178057126,1.038450028123681e-09,4.990044868771219
1.042933351202374e-09,2.853332439881298,1.042933351202374e-09,-0.09013467324715066,1.042933351202374e-09,4.989825362323445
1.047814465381226e-09,2.609276730938719,1.047814465381226e-09,-0.09800667684340067,1.047814465381226e-09,4.989657049488064
1.053266530208551e-09,2.336673489572447,1.053266530208551e-09,-0.1067066949569774,1.053266530208551e-09,4.989516741293621
1.059604528623699e-09,2.019773568815058,1.059604528623699e-09,-0.1169311898781707,1.059604528623699e-09,4.989361731529081
1.062929522755168e-09,1.853523862241587,1.062929522755168e-09,-0.1224746256339857,1.062929522755168e-09,4.989256911933859
1.064540507925212e-09,1.772974603739416,1.064540507925212e-09,-0.1254458654267573,1.064540507925212e-09,4.989150821196906
1.065837948849134e-09,1.708102557543325,1.065837948849134e-09,-0.1284345344046062,1.065837948849134e-09,4.988944368865048
1.067131595752667e-09,1.643420212366677,1.067131595752667e-09,-0.1323927183117006,1.067131595752667e-09,4.98854133351345
1.068283789497741e-09,1.585810525112954,1.068283789497741e-09,-0.136637409209925,1.068283789497741e-09,4.988043819499416
1.069976140164208e-09,1.501192991789603,1.069976140164208e-09,-0.1433803504113373,1.069976140164208e-09,4.987237126653217
1.071176818501278e-09,1.441159074936088,1.071176818501278e-09,-0.1482197049566168,1.071176818501278e-09,4.986677399195546
1.072443608003474e-09,1.377819599826309,1.072443608003474e-09,-0.1532344960447485,1.072443608003474e-09,4.986127660149918
1.074187735426525e-09,1.290613228673729,1.074187735426525e-09,-0.1598406005591525,1.074187735426525e-09,4.98546688625401
1.076361216953061e-09,1.181939152346972,1.076361216953061e-09,-0.1673725719773775,1.076361216953061e-09,4.984836097589992
1.07875710157472e-09,1.06214492126401,1.07875710157472e-09,-0.1744744383132979,1.07875710157472e-09,4.984435366662488
1.081238019924505e-09,0.9380990037747514,1.081238019924505e-09,-0.1801682773746997,1.081238019924505e-09,4.984392760893967
1.083809344143786e-09,0.8095327928106899,1.083809344143786e-09,-0.183967288547175,1.083809344143786e-09,4.984785442073817
1.086545623247047e-09,0.6727188376476692,1.086545623247047e-09,-0.1847793728277109,1.086545623247047e-09,4.985833804727025
1.087937916455879e-09,0.6031041772060322,1.087937916455879e-09,-0.1831304510170417,1.087937916455879e-09,4.98676759044782
1.089241464817999e-09,0.5379267591000412,1.089241464817999e-09,-0.1801003532408402,1.089241464817999e-09,4.98792054030548
1.091003129005342e-09,0.4498435497329272,1.091003129005342e-09,-0.1741583818726377,1.091003129005342e-09,4.989793427940345
1.092620568091682e-09,0.3689715954159096,1.092620568091682e-09,-0.1670415466364538,1.092620568091682e-09,4.991773160394668
1.094609312974231e-09,0.2695343512884367,1.094609312974231e-09,-0.1560795567842327,1.094609312974231e-09,4.994535373404125
1.097304656487116e-09,0.1347671756442166,1.097304656487116e-09,-0.1371262811715911,1.097304656487116e-09,4.998858618468853
1.1e-09,0,1.1e-09,-0.1131726408891788,1.1e-09,5.004049220297382
1.100551820927813e-09,0,1.100551820927813e-09,-0.1074024714102116,1.100551820927813e-09,5.005254145086587
1.101160404080004e-09,0,1.101160404080004e-09,-0.100804665986833,1.101160404080004e-09,5.006617965837559
1.10192748020322e-09,0,1.10192748020322e-09,-0.09204146565339529,1.10192748020322e-09,5.008401636513187
1.103086487742137e-09,0,1.103086487742137e-09,-0.07779813314816458,1.103086487742137e-09,5.011237052132033
1.105088005185724e-09,0,1.105088005185724e-09,-0.05034258179702452,1.105088005185724e-09,5.01651403615363
1.109091040072898e-09,0,1.109091040072898e-09,0.01489384205576051,1.109091040072898e-09,5.028286138084201
1.112150097333071e-09,0,1.112150097333071e-09,0.0732431147901961,1.112150097333071e-09,5.038134068303165
1.114586573597043e-09,0,1.114586573597043e-09,0.1245028457497522,1.114586573597043e-09,5.046364952989402
1.117089596750924e-09,0,1.117089596750924e-09,0.1811603938148315,1.117089596750924e-09,5.055063874168132
1.11960396839116e-09,0,1.11960396839116e-09,0.2417813822746998,1.11960396839116e-09,5.063958717524865
1.122399227561453e-09,0,1.122399227561453e-09,0.313104030633548,1.122399227561453e-09,5.07393609926574
1.125553542485527e-09,0,1.125553542485527e-09,0.3980152336733535,1.125553542485527e-09,5.085201780744801
1.129070892370885e-09,0,1.129070892370885e-09,0.4975477419998633,1.129070892370885e-09,5.097656286128353
1.132971850839267e-09,0,1.132971850839267e-09,0.6130504992976239,1.132971850839267e-09,5.111214550877339
1.137272815413658e-09,0,1.137272815413658e-09,0.7455115323810402,1.137272815413658e-09,5.125759934828375
1.141918349399518e-09,0,1.141918349399518e-09,0.8921352905073574,1.141918349399518e-09,5.141504886536712
1.146026328546966e-09,0,1.146026328546966e-09,1.021693337589735,1.146026328546966e-09,5.155919928511519
1.149689718062476e-09,0,1.149689718062476e-09,1.137971208762512,1.149689718062476e-09,5.166780520965894
1.155119131692746e-09,0,1.155119131692746e-09,1.311545967252278,1.155119131692746e-09,5.176896426139122
1.163307617961107e-09,0,1.163307617961107e-09,1.573105552342952,1.163307617961107e-09,5.177019638610307
1.17077092837453e-09,0,1.17077092837453e-09,1.807638884036056,1.17077092837453e-09,5.160821501889781
1.178158821680822e-09,0,1.178158821680822e-09,2.031564077672707,1.178158821680822e-09,5.129287801222798
1.185414711152799e-09,0,1.185414711152799e-09,2.238695776209343,1.185414711152799e-09,5.083353266083837
1.192612594550959e-09,0,1.192612594550959e-09,2.428887063392235,1.192612594550959e-09,5.023719491116778
1.201432993928211e-09,0,1.201432993928211e-09,2.642222363258798,1.201432993928211e-09,4.935921667758707
1.206849255516164e-09,0,1.206849255516164e-09,2.763125652725424,1.206849255516164e-09,4.873316540900766
1.214219344205079e-09,0,1.214219344205079e-09,2.916188604355126,1.214219344205079e-09,4.776087006127677
1.221345525741042e-09,0,1.221345525741042e-09,3.052932672223663,1.221345525741042e-09,4.666751064346064
1.228156732589295e-09,0,1.228156732589295e-09,3.175024874203103,1.228156732589295e-09,4.542674747017559
1.236777133487704e-09,0,1.236777133487704e-09,3.319730269775663,1.236777133487704e-09,4.345224435464787
1.244492179420397e-09,0,1.244492179420397e-09,3.438368651129123,1.244492179420397e-09,4.133916737503082
1.255479369731062e-09,0,1.255479369731062e-09,3.589965244350511,1.255479369731062e-09,3.78349003221967
1.266424874071259e-09,0,1.266424874071259e-09,3.723042447554698,1.266424874071259e-09,3.381025288805285
1.277845019726348e-09,0,1.277845019726348e-09,3.845406442700177,1.277845019726348e-09,2.911132589229018
1.290995822569917e-09,0,1.290995822569917e-09,3.968615849975448,1.290995822569917e-09,2.319646262650882
1.297721066747543e-09,0,1.297721066747543e-09,4.025117651387318,1.297721066747543e-09,2.002504444230981
1.307060059173883e-09,0,1.307060059173883e-09,4.097334101841355,1.307060059173883e-09,1.574521169639973
1.313857529751023e-09,0,1.313857529751023e-09,4.145041099003438,1.313857529751023e-09,1.297459364493625
1.319148787458446e-09,0,1.319148787458446e-09,4.180005966740897,1.319148787458446e-09,1.107269560350791
1.326492529881498e-09,0,1.326492529881498e-09,4.226746152252102,1.326492529881498e-09,0.8805830544220312
1.332983299803673e-09,0,1.332983299803673e-09,4.266936292027108,1.332983299803673e-09,0.7139858810450134
1.339367056787133e-09,0,1.339367056787133e-09,4.305651949730187,1.339367056787133e-09,0.5780288494361754
1.349284406374052e-09,0,1.349284406374052e-09,4.363993917869855,1.349284406374052e-09,0.4130303856600788
1.359017138592375e-09,0,1.359017138592375e-09,4.418503830891135,1.359017138592375e-09,0.2954678922754063
1.368494668915853e-09,0,1.368494668915853e-09,4.468346605236582,1.368494668915853e-09,0.2134962083231209
1.378349922798421e-09,0,1.378349922798421e-09,4.516435343958891,1.378349922798421e-09,0.1532476231455158
1.388711670027463e-09,0,1.388711670027463e-09,4.562810775751589,1.388711670027463e-09,0.1093958036296369
1.396706550261193e-09,0,1.396706550261193e-09,4.595726256469066,1.396706550261193e-09,0.08555848741515296
1.408765891884911e-09,0,1.408765891884911e-09,4.640933089351419,1.408765891884911e-09,0.0602521665349469
1.419049367264667e-09,0,1.419049367264667e-09,4.675548496252656,1.419049367264667e-09,0.04578711896065198
1.429128525152524e-09,0,1.429128525152524e-09,4.706255010999317,1.429128525152524e-09,0.0358746203514682
1.440682750564403e-09,0,1.440682750564403e-09,4.737907112113901,1.440682750564403e-09,0.02789191777250923
1.453583852685312e-09,0,1.453583852685312e-09,4.769240553858057,1.453583852685312e-09,0.02173771011724757
1.467841255359888e-09,0,1.467841255359888e-09,4.799527849802795,1.467841255359888e-09,0.0170737937894031
1.483827177655193e-09,0,1.483827177655193e-09,4.828784618421574,1.483827177655193e-09,0.01347623923650093
1.501789532171018e-09,0,1.501789532171018e-09,4.856601677198012,1.501789532171018e-09,0.01066190419736035
1.521930276946843e-09,0,1.521930276946843e-09,4.882469970268851,1.521930276946843e-09,0.00841809662674029
1.544538518606425e-09,0,1.544538518606425e-09,4.906020932969835,1.544538518606425e-09,0.006584147191101994
1.569983763512179e-09,0,1.569983763512179e-09,4.92697948143709,1.569983763512179e-09,0.005056240694191322
1.598742691781867e-09,0,1.598742691781867e-09,4.94516552535142,1.598742691781867e-09,0.003775599432828672
1.631476982509334e-09,0,1.631476982509334e-09,4.960510485795202,1.631476982509334e-09,0.00271154290734718
1.669129006353007e-09,0,1.669129006353007e-09,4.973044391376892,1.669129006353007e-09,0.001847563486173945
1.71306629797037e-09,0,1.71306629797037e-09,4.982878795096644,1.71306629797037e-09,0.001171453015417209
1.765334429765382e-09,0,1.765334429765382e-09,4.990196580506078,1.765334429765382e-09,0.0006694978625140717
1.829122984928566e-09,0,1.829122984928566e-09,4.995248197017744,1.829122984928566e-09,0.0003239069594577035
1.909697300820454e-09,0,1.909697300820454e-09,4.998353953124495,1.909697300820454e-09,0.0001120167353301642
2.009697300820455e-09,0,2.009697300820455e-09,4.999832311717507,2.009697300820455e-09,1.138359574948472e-05
2.109697300820455e-09,0,2.109697300820455e-09,5.000198066734284,2.109697300820455e-09,-1.348567941961604e-05
2.209697300820455e-09,0,2.209697300820455e-09,5.000190938052071,2.209697300820455e-09,-1.32440899166643e-05
2.309697300820455e-09,0,2.309697300820455e-09,5.00011161671083,2.309697300820455e-09,-7.907034412056111e-06
2.409697300820455e-09,0,2.409697300820455e-09,5.000050312460598,2.409697300820455e-09,-3.61857649556533e-06
2.509697300820455e-09,0,2.509697300820455e-09,5.0000179053843,2.509697300820455e-09,-1.274043771116205e-06
2.609697300820455e-09,0,2.609697300820455e-09,5.000004276177055,2.609697300820455e-09,-2.847961008607383e-07
2.709697300820455e-09,0,2.709697300820455e-09,4.999999833135404,2.709697300820455e-09,3.034722015374689e-08
2.809697300820455e-09,0,2.809697300820455e-09,4.999998991801625,2.809697300820455e-09,8.671698626013816e-08
2.909697300820455e-09,0,2.909697300820455e-09,4.999999190869052,2.909697300820455e-09,7.024516588634718e-08
3.009697300820455e-09,0,3.009697300820455e-09,4.999999526271165,3.009697300820455e-09,4.646254328773993e-08
3.109697300820455e-09,0,3.109697300820455e-09,4.999999764583759,3.109697300820455e-09,3.032147124218355e-08
3.209697300820455e-09,0,3.209697300820455e-09,4.999999891558734,3.209697300820455e-09,2.198632343366822e-08
3.309697300820455e-09,0,3.309697300820455e-09,4.999999946546263,3.309697300820455e-09,1.837979654330113e-08
3.409697300820456e-09,0,3.409697300820456e-09,4.999999965381688,3.409697300820456e-09,1.711389282310601e-08
3.509697300820456e-09,0,3.509697300820456e-09,4.999999969487501,3.509697300820456e-09,1.682439193818925e-08
3.609697300820456e-09,0,3.609697300820456e-09,4.999999968994002,3.609697300820456e-09,1.685235677293354e-08
3.709697300820456e-09,0,3.709697300820456e-09,4.999999967760751,3.709697300820456e-09,1.693532601056795e-08
3.809697300820456e-09,0,3.809697300820456e-09,4.999999966860198,3.809697300820456e-09,1.699690276995807e-08
3.909697300820456e-09,0,3.909697300820456e-09,4.999999966379513,3.909697300820456e-09,1.702985998438215e-08
