/net3 X,/net3 Y,/net8 X,/net8 Y,/o4 X,/o4 Y
0,5,0,2.892568355444196e-08,0,4.999999981632027
1e-11,5,1e-11,2.892568064087191e-08,1e-11,4.999999981632012
3e-11,5,3e-11,2.892567747155387e-08,3e-11,4.999999981631992
6.999999999999999e-11,5,6.999999999999999e-11,2.892567728574005e-08,6.999999999999999e-11,4.99999998163197
1.5e-10,5,1.5e-10,2.892567960590342e-08,1.5e-10,4.999999981631959
2.5e-10,5,2.5e-10,2.892568319636399e-08,2.5e-10,4.99999998163196
3.5e-10,5,3.5e-10,2.892568350437972e-08,3.5e-10,4.999999981631961
4.5e-10,5,4.5e-10,2.892568451776451e-08,4.5e-10,4.999999981631962
5.5e-10,5,5.5e-10,2.892568433453341e-08,5.5e-10,4.999999981631962
6.499999999999999e-10,5,6.499999999999999e-10,2.89256834414268e-08,6.499999999999999e-10,4.999999981631962
7.499999999999999e-10,5,7.499999999999999e-10,2.892568364767265e-08,7.499999999999999e-10,4.999999981631962
8.499999999999999e-10,5,8.499999999999999e-10,2.89256843132199e-08,8.499999999999999e-10,4.999999981631962
9.25e-10,5,9.25e-10,2.892568468082538e-08,9.25e-10,4.999999981631962
1e-09,5,1e-09,2.892568500375792e-08,1e-09,4.999999981631962
1.000285093783759e-09,4.985745310812066,1.000285093783759e-09,-0.001376989975833261,1.000285093783759e-09,4.999707742052877
1.000490882325891e-09,4.975455883705444,1.000490882325891e-09,-0.002372705655839493,1.000490882325891e-09,4.999497328689246
1.000902459410156e-09,4.954877029492201,1.000902459410156e-09,-0.004370690260393022,1.000902459410156e-09,4.999078646100438
1.001346508208012e-09,4.93267458959941,1.001346508208012e-09,-0.00653588097940289,1.001346508208012e-09,4.998630479675515
1.002234605803724e-09,4.888269709813827,1.002234605803724e-09,-0.01089171700153085,1.002234605803724e-09,4.997746284418966
1.003432624766693e-09,4.828368761665332,1.003432624766693e-09,-0.01680858355319263,1.003432624766693e-09,4.996581368816878
1.004615140513979e-09,4.76924297430105,1.004615140513979e-09,-0.02268000829693128,1.004615140513979e-09,4.995465192502059
1.005892989848096e-09,4.705350507595206,1.005892989848096e-09,-0.02904223693698682,1.005892989848096e-09,4.994299021585996
1.007291960854428e-09,4.635401957278628,1.007291960854428e-09,-0.03600942127574492,1.007291960854428e-09,4.993072176125773
1.008819039051962e-09,4.559048047401924,1.008819039051962e-09,-0.04359811868445983,1.008819039051962e-09,4.991794053425953
1.010501440395102e-09,4.474927980244894,1.010501440395102e-09,-0.05193172869707108,1.010501440395102e-09,4.990457996684669
1.01235221628406e-09,4.382389185796986,1.01235221628406e-09,-0.06116484670250979,1.01235221628406e-09,4.989051047820106
1.014363153160513e-09,4.281842341974365,1.014363153160513e-09,-0.07172003571364081,1.014363153160513e-09,4.987501126297638
1.015776373647284e-09,4.211181317635798,1.015776373647284e-09,-0.07944804095698804,1.015776373647284e-09,4.986402341827724
1.017176071199123e-09,4.141196440043839,1.017176071199123e-09,-0.08705296122165367,1.017176071199123e-09,4.985369614700029
1.018453993802334e-09,4.077300309883328,1.018453993802334e-09,-0.0939046896656571,1.018453993802334e-09,4.984483658110058
1.019914166405103e-09,4.00429167974483,1.019914166405103e-09,-0.1014922668941232,1.019914166405103e-09,4.983563288800839
1.021555209023253e-09,3.922239548837362,1.021555209023253e-09,-0.1096763858014881,1.021555209023253e-09,4.982648564418411
1.024546795979631e-09,3.77266020101845,1.024546795979631e-09,-0.1235725343970091,1.024546795979631e-09,4.981303367015137
1.028384510923427e-09,3.580774453828635,1.028384510923427e-09,-0.1393302585566197,1.028384510923427e-09,4.980164042039409
1.032958959075716e-09,3.35205204621422,1.032958959075716e-09,-0.154905715913068,1.032958959075716e-09,4.979609884967518
1.038375426757827e-09,3.081228662108647,1.038375426757827e-09,-0.1686544197453566,1.038375426757827e-09,4.979974463436332
1.04484846284806e-09,2.757576857597018,1.04484846284806e-09,-0.1782337929071261,1.04484846284806e-09,4.981672112153027
1.052818207277775e-09,2.359089636111271,1.052818207277775e-09,-0.1795991329432218,1.052818207277775e-09,4.985334777466171
1.062476510337719e-09,1.876174483114062,1.062476510337719e-09,-0.1655633086568542,1.062476510337719e-09,4.991640400210879
1.067163658628568e-09,1.64181706857162,1.067163658628568e-09,-0.1526656399899291,1.067163658628568e-09,4.995305527465406
1.071518792641069e-09,1.424060367946562,1.071518792641069e-09,-0.1367636976214329,1.071518792641069e-09,4.99906675913776
1.076591668203814e-09,1.170416589809313,1.076591668203814e-09,-0.1129265071951348,1.076591668203814e-09,5.004101533298587
1.080987192565336e-09,0.9506403717331953,1.080987192565336e-09,-0.08695579993282873,1.080987192565336e-09,5.009000714107864
1.083401189898778e-09,0.8299405050611011,1.083401189898778e-09,-0.06998817136738938,1.083401189898778e-09,5.011996768093082
1.085861349543385e-09,0.7069325228307557,1.085861349543385e-09,-0.04948931735965403,1.085861349543385e-09,5.015514675820131
1.087669792618692e-09,0.6165103690654119,1.087669792618692e-09,-0.03173363621208713,1.087669792618692e-09,5.018516155806429
1.089328624599994e-09,0.5335687700002909,1.089328624599994e-09,-0.01347500812531882,1.089328624599994e-09,5.021554437303983
1.090613088792819e-09,0.4693455603590557,1.090613088792819e-09,0.002132904008457072,1.090613088792819e-09,5.024123537517199
1.091611433324503e-09,0.419428333774829,1.091611433324503e-09,0.01498307233928272,1.091611433324503e-09,5.026209201512904
1.092713730639408e-09,0.3643134680296214,1.092713730639408e-09,0.02966118435847466,1.092713730639408e-09,5.028545900652158
1.093645531766885e-09,0.317723411655729,1.093645531766885e-09,0.04238633064210778,1.093645531766885e-09,5.030529528628706
1.09478520318542e-09,0.2607398407289914,1.09478520318542e-09,0.05830869518669127,1.09478520318542e-09,5.032957645518848
1.096554803239031e-09,0.1722598380484728,1.096554803239031e-09,0.08378920315352006,1.096554803239031e-09,5.036727248388343
1.098277401619515e-09,0.08612991902422973,1.098277401619515e-09,0.1094712415910631,1.098277401619515e-09,5.040395499011284
1.1e-09,0,1.1e-09,0.1360191944615699,1.1e-09,5.0440635753549
1.100345444165167e-09,0,1.100345444165167e-09,0.1425685152203467,1.100345444165167e-09,5.045042967489997
1.100719821160939e-09,0,1.100719821160939e-09,0.1496680879774863,1.100719821160939e-09,5.046096760559778
1.101178774525902e-09,0,1.101178774525902e-09,0.1583722285451203,1.101178774525902e-09,5.047373948922451
1.102096681255826e-09,0,1.102096681255826e-09,0.1757805528139232,1.102096681255826e-09,5.049876673185725
1.103932494715676e-09,0,1.103932494715676e-09,0.2105933261362501,1.103932494715676e-09,5.054680566727927
1.107604121635375e-09,0,1.107604121635375e-09,0.2801856324340469,1.107604121635375e-09,5.063542847969419
1.111734457139696e-09,0,1.111734457139696e-09,0.3583850733162717,1.111734457139696e-09,5.072440474391005
1.115845743745422e-09,0,1.115845743745422e-09,0.4360990598512255,1.115845743745422e-09,5.080300840824679
1.119989325497468e-09,0,1.119989325497468e-09,0.5142737969171183,1.119989325497468e-09,5.087346383518829
1.12412236213852e-09,0,1.12412236213852e-09,0.5920795623244752,1.12412236213852e-09,5.093613580648713
1.128343210996741e-09,0,1.128343210996741e-09,0.6713290290349851,1.128343210996741e-09,5.099337481927513
1.132673064564076e-09,0,1.132673064564076e-09,0.7522677858776816,1.132673064564076e-09,5.104603974356682
1.137195173798686e-09,0,1.137195173798686e-09,0.8356944057818472,1.137195173798686e-09,5.109596998279579
1.14198972166287e-09,0,1.14198972166287e-09,0.9208905864995525,1.14198972166287e-09,5.114483883414863
1.146616665506623e-09,0,1.146616665506623e-09,0.9997696468950296,1.146616665506623e-09,5.118311784484991
1.152101683507246e-09,0,1.152101683507246e-09,1.091186237941129,1.152101683507246e-09,5.120547748787659
1.157496680875537e-09,0,1.157496680875537e-09,1.179727331329003,1.157496680875537e-09,5.119733904934082
1.16398426077536e-09,0,1.16398426077536e-09,1.284544093030881,1.16398426077536e-09,5.114593058298444
1.17119983564729e-09,0,1.17119983564729e-09,1.399016287592308,1.17119983564729e-09,5.103656600565443
1.179221609499816e-09,0,1.179221609499816e-09,1.523702038558521,1.179221609499816e-09,5.085399788282088
1.188274019612652e-09,0,1.188274019612652e-09,1.66119784223484,1.188274019612652e-09,5.057633697719312
1.19444525587855e-09,0,1.19444525587855e-09,1.753000219808702,1.19444525587855e-09,5.034588945655714
1.20043589208741e-09,0,1.20043589208741e-09,1.840630658295691,1.20043589208741e-09,5.009213835929141
1.20509760900887e-09,0,1.20509760900887e-09,1.908157763440603,1.20509760900887e-09,4.988121565000904
1.214421042851789e-09,0,1.214421042851789e-09,2.041009399868071,1.214421042851789e-09,4.941777408402425
1.222200293904954e-09,0,1.222200293904954e-09,2.148958190129608,1.222200293904954e-09,4.897796897115259
1.236609735048609e-09,0,1.236609735048609e-09,2.341501332841398,1.236609735048609e-09,4.803158103634869
1.245348334250493e-09,0,1.245348334250493e-09,2.453427890312087,1.245348334250493e-09,4.736799060121338
1.254109220058443e-09,0,1.254109220058443e-09,2.561880752284471,1.254109220058443e-09,4.662575189831122
1.261504732005767e-09,0,1.261504732005767e-09,2.650553096176427,1.261504732005767e-09,4.592975665838859
1.268467773365108e-09,0,1.268467773365108e-09,2.731832711100739,1.268467773365108e-09,4.520426499275539
1.274671130063195e-09,0,1.274671130063195e-09,2.80280751792919,1.274671130063195e-09,4.44861138552584
1.280220044076166e-09,0,1.280220044076166e-09,2.865608818544624,1.280220044076166e-09,4.376983135531718
1.285233621815095e-09,0,1.285233621815095e-09,2.922057692673507,1.285233621815095e-09,4.304793655370153
1.290045479068135e-09,0,1.290045479068135e-09,2.975675187390261,1.290045479068135e-09,4.228109488427909
1.299669193574217e-09,0,1.299669193574217e-09,3.078871978913868,1.299669193574217e-09,4.052218507248391
1.305641608409037e-09,0,1.305641608409037e-09,3.139441910072025,1.305641608409037e-09,3.928283819708732
1.313635927066733e-09,0,1.313635927066733e-09,3.216155664364707,1.313635927066733e-09,3.74494928165698
1.321241107730895e-09,0,1.321241107730895e-09,3.284591191059176,1.321241107730895e-09,3.552552764098619
1.32947027749904e-09,0,1.32947027749904e-09,3.353854134003387,1.32947027749904e-09,3.32557394813384
1.337814761489969e-09,0,1.337814761489969e-09,3.419268850664896,1.337814761489969e-09,3.076725140964813
1.346267642675844e-09,0,1.346267642675844e-09,3.480892131121116,1.346267642675844e-09,2.807017936185696
1.354369751018643e-09,0,1.354369751018643e-09,3.535879100930936,1.354369751018643e-09,2.53354076797521
1.361458720695813e-09,0,1.361458720695813e-09,3.58096024995969,1.361458720695813e-09,2.283768512829803
1.366879896524703e-09,0,1.366879896524703e-09,3.613669963005355,1.366879896524703e-09,2.087212329121279
1.37109993154714e-09,0,1.37109993154714e-09,3.638151631678467,1.37109993154714e-09,1.931654528052058
1.379540001592014e-09,0,1.379540001592014e-09,3.684909540431412,1.379540001592014e-09,1.620055371393596
1.388540525399758e-09,0,1.388540525399758e-09,3.731232154072871,1.388540525399758e-09,1.309584761070955
1.395036469620398e-09,0,1.395036469620398e-09,3.761791540431169,1.395036469620398e-09,1.111539177171211
1.401695812139198e-09,0,1.401695812139198e-09,3.792362166530601,1.401695812139198e-09,0.9338737005020064
1.408916172315454e-09,0,1.408916172315454e-09,3.826306646894063,1.408916172315454e-09,0.7694237386472061
1.414054489322086e-09,0,1.414054489322086e-09,3.851430079311149,1.414054489322086e-09,0.6690893431477637
1.419070002699139e-09,0,1.419070002699139e-09,3.876817911118505,1.419070002699139e-09,0.5834326944926554
1.423515164449021e-09,0,1.423515164449021e-09,3.899993755712035,1.423515164449021e-09,0.5167603729487918
1.432405487948786e-09,0,1.432405487948786e-09,3.94779455022595,1.432405487948786e-09,0.4055815392105706
1.436550726632838e-09,0,1.436550726632838e-09,3.9706265646309,1.436550726632838e-09,0.3627961076321516
