a,X1 Rise,X1 Fall,X2 Rise,X2 Fall,X4 Rise,X4 Fall
1,1.5021846085717634e-10,1.420577459579802e-10,9.977521923134825e-11,8.553146872534916e-11,8.051190751004966e-11,6.692006370240673e-11
2,2.2758367978435278e-10,2.1823026119992091e-10,1.3049845106872339e-10,1.1171721406935916e-10,9.314370689460654e-11,7.749985226238524e-11
4,3.602733473181579e-10,3.5564275782355475e-10,2.0398022337241174e-10,1.7534096056790858e-10,1.217156455763991e-10,1.0051520772475178e-10
8,6.210956009277452e-10,6.192339825487756e-10,3.267343007697237e-10,2.919323431568274e-10,1.9256224370018987e-10,1.5713321758140074e-10
16,1.143191259797734e-09,1.1456925624968548e-09,5.648929927199713e-10,5.091469968809595e-10,3.107366323565964e-10,2.660156215837833e-10
