a,Switch A Rise Delay,Switch A Fall Delay,Switch B Rise Delay,Switch B Fall Delay
1,1.4555277605004503e-10,2.409075933366538e-10,9.380314798639899e-11,1.466414503611647e-10
2,1.6729259152945293e-10,2.706225574786963e-10,1.1504261901461317e-10,1.7423807963506915e-10
4,2.112807282983177e-10,3.2891726841948344e-10,1.589899873354263e-10,2.3018626290736025e-10
