a,X1 Rise Delay,X1 Fall Delay,X2 Rise Delay,X2 Fall Delay,X4 Rise Delay, X4 Fall Delay
1,8.273722204180775e-11,9.375444292856155e-11,6.434557086279943e-11,6.529153001331562e-11,5.6177751353997275e-11,5.4204530885524345e-11
2,1.0756850314581317e-10,1.204478102783836e-10,7.51469821046104e-11,7.563874602573441e-11,6.117753534367232e-11,5.873116719534022e-11
4,1.5868535282027288e-10,1.7507490747859617e-10,9.747054911864179e-11,9.673869415745254e-11,7.123906010175666e-11,6.785348208096776e-11
8,2.6448190753308306e-10,2.861498042325796e-10,1.4355088949051508e-10,1.401106233630189e-10,9.225151336052947e-11,8.65457008392363e-11
16,4.796796451494886e-10,5.10705025638708e-10,2.392479721947962e-10,2.286844870425479e-10,1.357482451466885e-10,1.2498255496230665e-10
