/net8 X,/net8 Y
0,1.704906559339715e-08
1e-11,1.704906180615207e-08
3e-11,1.70490575704921e-08
6.999999999999999e-11,1.704905499368916e-08
1.5e-10,1.704905870863115e-08
2.5e-10,1.704906423297869e-08
3.5e-10,1.704906612198184e-08
4.5e-10,1.704906614726963e-08
5.5e-10,1.704906612469074e-08
6.499999999999999e-10,1.704906561065048e-08
7.499999999999999e-10,1.7049064716368e-08
8.499999999999999e-10,1.704906636052628e-08
9.25e-10,1.704906656053137e-08
1e-09,1.704906592201992e-08
1.000572502993476e-09,-0.002068115735991088
1.000994432096934e-09,-0.003586044011748418
1.001838290303849e-09,-0.006597273059335775
1.00303587544964e-09,-0.01081181004326985
1.005431045741221e-09,-0.01903817998784409
1.0101808600328e-09,-0.0346160908032396
1.01240559327299e-09,-0.04165318290113852
1.014003705127213e-09,-0.04680876721861964
1.015618385923918e-09,-0.05239360950444179
1.016896813593421e-09,-0.05703745517722386
1.018219422162073e-09,-0.06185744021495952
1.019458989460094e-09,-0.06628407041616521
1.020890922713988e-09,-0.07122332062306627
1.022805107715337e-09,-0.07747152602587494
1.025330542283348e-09,-0.08502032503045971
1.028536599226715e-09,-0.09337171310090545
1.032443711295341e-09,-0.1015753602801553
1.037110960786101e-09,-0.108427207188553
1.042934886183071e-09,-0.112421514691865
1.052007871816466e-09,-0.1087679800308724
1.060765925608516e-09,-0.09428703966857807
1.067700843982894e-09,-0.0754409539851579
1.075028206331115e-09,-0.04843902201912417
1.076860046918171e-09,-0.04055568998986587
1.080523728092281e-09,-0.02327892258490008
1.081709014086655e-09,-0.01702362405362729
1.083206376651854e-09,-0.008029853206873406
1.084446787624447e-09,0.0003854078828648111
1.085540616974282e-09,0.008218497471533482
1.086611901716745e-09,0.01612939043341766
1.087955659795813e-09,0.02632780741530618
1.090033718000971e-09,0.04266960695725111
1.09369833793925e-09,0.07314157200719211
1.096849168969625e-09,0.1010084294121699
1.1e-09,0.1303933149769097
1.100420710841855e-09,0.1357275062609326
1.10087181845996e-09,0.1414374192066442
1.101479541661533e-09,0.1491072736734348
1.102694988064679e-09,0.1643663806982974
1.105125880870971e-09,0.1945847374520514
1.109987666483556e-09,0.2540094155343708
1.115780236474524e-09,0.3234006217267082
1.122367331920091e-09,0.4009115674585775
1.130048899379491e-09,0.4899717317634443
1.139088043310229e-09,0.5935281150684399
1.150103896728524e-09,0.7184453661008202
1.159934509044802e-09,0.8280692525354867
1.162914118220223e-09,0.8604110418981638
1.168873336571065e-09,0.9230823432360277
1.177059747189791e-09,1.005665005821977
1.186808025494158e-09,1.101300165236121
1.195542161543218e-09,1.185358769093708
1.199626808550253e-09,1.224186424708779
1.207796102564324e-09,1.300946984613456
1.21240469379131e-09,1.343737061986075
1.221621876245283e-09,1.428259689335219
1.227087083372206e-09,1.477728907806185
1.232738803502919e-09,1.528396257256318
1.236967847606299e-09,1.566137830857056
1.245425935813059e-09,1.641197131632613
1.254463802371771e-09,1.720171970634355
1.263074792772409e-09,1.794216734282403
1.280296773573684e-09,1.938633901814427
1.295820286590135e-09,2.064374178282589
1.319866388846292e-09,2.250157264897625
1.337621022716474e-09,2.380131135106746
1.350796951794751e-09,2.472824685676263
1.362548250493011e-09,2.553152901483712
1.373146272876688e-09,2.624240752489651
1.382591998551612e-09,2.687093937272595
1.390223499714878e-09,2.737631056007896
1.397294081469413e-09,2.783791920978623
1.404282138408406e-09,2.828220837178772
1.412116972167489e-09,2.876219424785096
1.421370754514428e-09,2.930249869001771
1.431591448131198e-09,2.986578652672045
1.440597237072572e-09,3.033382540569409
1.452445320038629e-09,3.091139498205211
1.462993461119813e-09,3.139114607439452
