/net7 X,/net7 Y,/net9 X,/net9 Y,/net10 X,/net10 Y,/net8 X,/net8 Y,/net3 X,/net3 Y
1.123315598373659e-09,-3.835895991350384e-16,1.123315598373659e-09,-3.835895991350384e-16,1.123315598373659e-09,-3.835895991350384e-16,1.123315598373659e-09,-3.835895991350384e-16,1.123315598373659e-09,-0.1413235525759746
1.12899740605861e-09,-3.610672881495436e-16,1.12899740605861e-09,-3.610672881495436e-16,1.12899740605861e-09,-3.610672881495436e-16,1.12899740605861e-09,-3.610672881495436e-16,1.12899740605861e-09,-0.05115078925175025
1.135227923052594e-09,4.238274557853642e-16,1.135227923052594e-09,4.238274557853642e-16,1.135227923052594e-09,4.238274557853642e-16,1.135227923052594e-09,4.238274557853642e-16,1.135227923052594e-09,0.05192101148590596
1.140981276180842e-09,7.844801336217279e-17,1.140981276180842e-09,7.844801336217279e-17,1.140981276180842e-09,7.844801336217279e-17,1.140981276180842e-09,7.844801336217279e-17,1.140981276180842e-09,0.1494287301182965
1.146000531250656e-09,-1.739355631562702e-16,1.146000531250656e-09,-1.739355631562702e-16,1.146000531250656e-09,-1.739355631562702e-16,1.146000531250656e-09,-1.739355631562702e-16,1.146000531250656e-09,0.2356700680477201
1.152056962439738e-09,-4.177730377788451e-16,1.152056962439738e-09,-4.177730377788451e-16,1.152056962439738e-09,-4.177730377788451e-16,1.152056962439738e-09,-4.177730377788451e-16,1.152056962439738e-09,0.340653467487411
1.159356285912016e-09,2.647427560810188e-16,1.159356285912016e-09,2.647427560810188e-16,1.159356285912016e-09,2.647427560810188e-16,1.159356285912016e-09,2.647427560810188e-16,1.159356285912016e-09,0.4679758805590334
1.16782819121248e-09,-2.694377214408425e-16,1.16782819121248e-09,-2.694377214408425e-16,1.16782819121248e-09,-2.694377214408425e-16,1.16782819121248e-09,-2.694377214408425e-16,1.16782819121248e-09,0.6162610730879723
1.178339848104408e-09,-2.485670344335266e-16,1.178339848104408e-09,-2.485670344335266e-16,1.178339848104408e-09,-2.485670344335266e-16,1.178339848104408e-09,-2.485670344335266e-16,1.178339848104408e-09,0.7997999464039657
1.184446796105223e-09,1.112645135858321e-16,1.184446796105223e-09,1.112645135858321e-16,1.184446796105223e-09,1.112645135858321e-16,1.184446796105223e-09,1.112645135858321e-16,1.184446796105223e-09,0.9033524065787342
1.190350134658453e-09,-1.861696622659898e-16,1.190350134658453e-09,-1.861696622659898e-16,1.190350134658453e-09,-1.861696622659898e-16,1.190350134658453e-09,-1.861696622659898e-16,1.190350134658453e-09,0.9990383010912142
1.196564537174287e-09,-2.96445214168782e-16,1.196564537174287e-09,-2.96445214168782e-16,1.196564537174287e-09,-2.96445214168782e-16,1.196564537174287e-09,-2.96445214168782e-16,1.196564537174287e-09,1.097407962561603
1.20268677198341e-09,-2.016525725126115e-16,1.20268677198341e-09,-2.016525725126115e-16,1.20268677198341e-09,-2.016525725126115e-16,1.20268677198341e-09,-2.016525725126115e-16,1.20268677198341e-09,1.192932122350268
1.211009432375828e-09,2.510201677790771e-16,1.211009432375828e-09,2.510201677790771e-16,1.211009432375828e-09,2.510201677790771e-16,1.211009432375828e-09,2.510201677790771e-16,1.211009432375828e-09,1.320689454469426
1.227654753160663e-09,-3.887587864016396e-16,1.227654753160663e-09,-3.887587864016396e-16,1.227654753160663e-09,-3.887587864016396e-16,1.227654753160663e-09,-3.887587864016396e-16,1.227654753160663e-09,1.568780688578683
1.257962583406618e-09,2.611271355020895e-16,1.257962583406618e-09,2.611271355020895e-16,1.257962583406618e-09,2.611271355020895e-16,1.257962583406618e-09,2.611271355020895e-16,1.257962583406618e-09,1.993845941893159
1.283857707838632e-09,7.889107282812373e-18,1.283857707838632e-09,7.889107282812373e-18,1.283857707838632e-09,7.889107282812373e-18,1.283857707838632e-09,7.889107282812373e-18,1.283857707838632e-09,2.324759517939361
1.308872657130374e-09,-5.603264151793519e-17,1.308872657130374e-09,-5.603264151793519e-17,1.308872657130374e-09,-5.603264151793519e-17,1.308872657130374e-09,-5.603264151793519e-17,1.308872657130374e-09,2.610669328698773
1.32576642130919e-09,1.261100349387968e-18,1.32576642130919e-09,1.261100349387968e-18,1.32576642130919e-09,1.261100349387968e-18,1.32576642130919e-09,1.261100349387968e-18,1.32576642130919e-09,2.787722194865916
1.343442296813152e-09,1.479137829647792e-16,1.343442296813152e-09,1.479137829647792e-16,1.343442296813152e-09,1.479137829647792e-16,1.343442296813152e-09,1.479137829647792e-16,1.343442296813152e-09,2.965015596273365
1.356235434136703e-09,3.093664682532035e-16,1.356235434136703e-09,3.093664682532035e-16,1.356235434136703e-09,3.093664682532035e-16,1.356235434136703e-09,3.093664682532035e-16,1.356235434136703e-09,3.084597241643876
1.370627872753872e-09,-3.416557714588751e-16,1.370627872753872e-09,-3.416557714588751e-16,1.370627872753872e-09,-3.416557714588751e-16,1.370627872753872e-09,-3.416557714588751e-16,1.370627872753872e-09,3.207009084016238
1.388922397832054e-09,2.227581393581725e-16,1.388922397832054e-09,2.227581393581725e-16,1.388922397832054e-09,2.227581393581725e-16,1.388922397832054e-09,2.227581393581725e-16,1.388922397832054e-09,3.345127671894855
1.412873996245695e-09,-2.357098536297814e-16,1.412873996245695e-09,-2.357098536297814e-16,1.412873996245695e-09,-2.357098536297814e-16,1.412873996245695e-09,-2.357098536297814e-16,1.412873996245695e-09,3.500130747344422
1.431299698673809e-09,2.639369835328582e-16,1.431299698673809e-09,2.639369835328582e-16,1.431299698673809e-09,2.639369835328582e-16,1.431299698673809e-09,2.639369835328582e-16,1.431299698673809e-09,3.602720158523331
1.439622365131178e-09,-1.555515994607582e-16,1.439622365131178e-09,-1.555515994607582e-16,1.439622365131178e-09,-1.555515994607582e-16,1.439622365131178e-09,-1.555515994607582e-16,1.439622365131178e-09,3.645068355621669
1.448644126463754e-09,-1.755883323391186e-16,1.448644126463754e-09,-1.755883323391186e-16,1.448644126463754e-09,-1.755883323391186e-16,1.448644126463754e-09,-1.755883323391186e-16,1.448644126463754e-09,3.687471783200825
1.455734103013544e-09,1.259973663993684e-16,1.455734103013544e-09,1.259973663993684e-16,1.455734103013544e-09,1.259973663993684e-16,1.455734103013544e-09,1.259973663993684e-16,1.455734103013544e-09,3.71893009091012
1.463731096219465e-09,-8.685109246595436e-17,1.463731096219465e-09,-8.685109246595436e-17,1.463731096219465e-09,-8.685109246595436e-17,1.463731096219465e-09,-8.685109246595436e-17,1.463731096219465e-09,3.754621096823239
1.475957570947193e-09,2.3073080847523e-16,1.475957570947193e-09,2.3073080847523e-16,1.475957570947193e-09,2.3073080847523e-16,1.475957570947193e-09,2.3073080847523e-16,1.475957570947193e-09,3.811771375325206
1.489488269256802e-09,-2.878624120944757e-16,1.489488269256802e-09,-2.878624120944757e-16,1.489488269256802e-09,-2.878624120944757e-16,1.489488269256802e-09,-2.878624120944757e-16,1.489488269256802e-09,3.878686423110713
1.500845894824653e-09,3.475051510240086e-16,1.500845894824653e-09,3.475051510240086e-16,1.500845894824653e-09,3.475051510240086e-16,1.500845894824653e-09,3.475051510240086e-16,1.500845894824653e-09,3.936735814421238
1.511940669809717e-09,1.353398822485884e-16,1.511940669809717e-09,1.353398822485884e-16,1.511940669809717e-09,1.353398822485884e-16,1.511940669809717e-09,1.353398822485884e-16,1.511940669809717e-09,3.993789980483568
1.523492680355227e-09,-7.204897901642776e-17,1.523492680355227e-09,-7.204897901642776e-17,1.523492680355227e-09,-7.204897901642776e-17,1.523492680355227e-09,-7.204897901642776e-17,1.523492680355227e-09,4.052419514231326
1.535892407608224e-09,-2.793080916128524e-16,1.535892407608224e-09,-2.793080916128524e-16,1.535892407608224e-09,-2.793080916128524e-16,1.535892407608224e-09,-2.793080916128524e-16,1.535892407608224e-09,4.11356466108467
1.54976728819084e-09,3.957943458547987e-16,1.54976728819084e-09,3.957943458547987e-16,1.54976728819084e-09,3.957943458547987e-16,1.54976728819084e-09,3.957943458547987e-16,1.54976728819084e-09,4.179134639160672
1.565696486085293e-09,-3.124913974212246e-16,1.565696486085293e-09,-3.124913974212246e-16,1.565696486085293e-09,-3.124913974212246e-16,1.565696486085293e-09,-3.124913974212246e-16,1.565696486085293e-09,4.250525085225799
1.584263731381047e-09,4.134203392404053e-16,1.584263731381047e-09,4.134203392404053e-16,1.584263731381047e-09,4.134203392404053e-16,1.584263731381047e-09,4.134203392404053e-16,1.584263731381047e-09,4.329472971416164
