/net6 X,/net6 Y
0,6.819626086648007e-08
1e-11,6.819625776256787e-08
3e-11,6.8196254727298e-08
6.999999999999999e-11,6.819625263281314e-08
1.5e-10,6.819625471023868e-08
2.5e-10,6.81962597628914e-08
3.5e-10,6.819626372363098e-08
4.5e-10,6.819626352126159e-08
5.5e-10,6.81962619557601e-08
6.499999999999999e-10,6.819626061459779e-08
7.499999999999999e-10,6.819625851355451e-08
8.499999999999999e-10,6.819625710243973e-08
9.25e-10,6.819625750072072e-08
1e-09,6.819625839322674e-08
1.000207980874206e-09,-0.0006443453713387778
1.000355198751586e-09,-0.00110162480268563
1.000649634506346e-09,-0.002020439156857124
1.000932895127671e-09,-0.002909806055711447
1.001499416370319e-09,-0.004703472853647731
1.002296628372146e-09,-0.007257402746316892
1.003051921416572e-09,-0.009704919731659892
1.003854580064339e-09,-0.01233072545417262
1.004722978721727e-09,-0.015194976936588
1.005655534314212e-09,-0.01829211756610983
1.006666764157305e-09,-0.02166920045577586
1.007763834688095e-09,-0.02534832449147261
1.008951852047111e-09,-0.02934419633445746
1.010235839556821e-09,-0.03367339345136786
1.011633741743644e-09,-0.03841299190472038
1.013162951435112e-09,-0.04372401346636214
1.014727303570959e-09,-0.04951336419871594
1.015995877603703e-09,-0.05447133178803156
1.017788406601419e-09,-0.06154794655861876
1.019089704283943e-09,-0.06659908923996548
1.020500732636646e-09,-0.07193510528058615
1.022543460492573e-09,-0.07934103913928894
1.025286529685438e-09,-0.08861021825906164
1.028657190471706e-09,-0.09882270698643766
1.032558707019061e-09,-0.1088757790392108
1.036950699078249e-09,-0.1177607760546345
1.041903142277016e-09,-0.1245229226669207
1.047545030391964e-09,-0.1278538358275544
1.054017664481055e-09,-0.1257696723476485
1.061382593364349e-09,-0.1155204704694787
1.068154825634567e-09,-0.09845771624840059
1.073409743867095e-09,-0.07986501965761329
1.077770051942034e-09,-0.0605613106320177
1.081901710273541e-09,-0.03826247965876113
1.08364947717307e-09,-0.02729828015357084
1.085342596846985e-09,-0.0157834287347365
1.086094037423402e-09,-0.01036407111169701
1.086828469072475e-09,-0.004860814659727965
1.087631977605386e-09,0.00137943601217025
1.08836435333951e-09,0.007231138079772822
1.08905860653489e-09,0.01289477025252581
1.089780477070582e-09,0.01888834485938685
1.090671530473455e-09,0.02642317941552696
1.091896883184389e-09,0.03702268751289901
1.093795468080874e-09,0.05398161995063972
1.096897734040437e-09,0.08308487603510167
1.098448867020219e-09,0.09828302013307487
1.1e-09,0.1139104994890991
1.100300542272084e-09,0.117852320111678
1.100612048711003e-09,0.1219353908058727
1.101002135614414e-09,0.1270427322258466
1.101782309421236e-09,0.1372364038867478
1.103342657034879e-09,0.1575405183339322
1.106060575319095e-09,0.1926556664090553
1.10859920150489e-09,0.2251808231283948
1.111161093390735e-09,0.2577545130526702
1.11379558511216e-09,0.2910097126745477
1.116462220289386e-09,0.3244407845151875
1.119248732126632e-09,0.3591479649222294
1.122203747150009e-09,0.3957223856852914
1.125365414790552e-09,0.4346141814658264
1.128775206181531e-09,0.476305659532769
1.132475157945589e-09,0.5212774377454078
1.136516788980046e-09,0.5701160762312716
1.140966528528883e-09,0.6235745614994548
1.145911336370048e-09,0.6826248239965415
1.151467484646795e-09,0.7485003202415366
1.157793938859724e-09,0.8225387835066812
1.165114605653238e-09,0.9054875819293797
1.172778605583571e-09,0.9886256526274334
1.176889242241432e-09,1.032256075562878
1.184166640110538e-09,1.108461014454547
1.186994063586719e-09,1.137761637767914
1.19264891053908e-09,1.195879169267533
1.196084442499421e-09,1.230880824466507
1.202955506420101e-09,1.30021456563348
1.20732466052308e-09,1.343849322737531
1.216062968729038e-09,1.43010869208987
1.221683681238431e-09,1.484899545713587
1.228248402126944e-09,1.548227036526382
1.233174083763289e-09,1.595346528398085
1.24302544703598e-09,1.688965833191931
1.250758384689192e-09,1.761335924554884
1.258530830769849e-09,1.83307063614163
1.274075722931161e-09,1.973399143503489
1.289599823817296e-09,2.109132100057211
