/net6 X,/net6 Y
0,6.819626086648006e-08
1e-11,6.81962576016542e-08
3e-11,6.819625306345407e-08
6.999999999999999e-11,6.819625046562665e-08
1.5e-10,6.819625095205572e-08
2.5e-10,6.819625416557266e-08
3.5e-10,6.819625758633662e-08
4.5e-10,6.819625814972654e-08
5.5e-10,6.819625875176107e-08
6.499999999999999e-10,6.819625880253084e-08
7.499999999999999e-10,6.819625898128691e-08
8.499999999999999e-10,6.819625976089515e-08
9.25e-10,6.819625998074152e-08
1e-09,6.819626038357588e-08
1.000300145845993e-09,-0.0007808754747554649
1.000530166209966e-09,-0.001380380912993375
1.000990206937914e-09,-0.002583344399419749
1.001511473437535e-09,-0.003952801196419906
1.002554006436779e-09,-0.006710259216040923
1.004018074290131e-09,-0.01061800279963547
1.005456663814677e-09,-0.01449028253895777
1.00700024246959e-09,-0.01867225430318084
1.008683749304212e-09,-0.02325671807198595
1.010508948285432e-09,-0.02825570431578433
1.012503887494031e-09,-0.03384804289245689
1.013681229921387e-09,-0.03737785283730294
1.014787136495562e-09,-0.04094964654269474
1.01600574516434e-09,-0.0450762977156409
1.017273172619146e-09,-0.04940740374665702
1.018380552281791e-09,-0.05314083197074812
1.019698264841058e-09,-0.05747170119489709
1.021508804322739e-09,-0.06317245089868029
1.023885153028465e-09,-0.07014790925545536
1.026816098961603e-09,-0.07786501638795341
1.030214401732052e-09,-0.08546700730464535
1.034012668000485e-09,-0.09211712875329298
1.038230017647459e-09,-0.09707346829258381
1.0429275952805e-09,-0.09943988849374558
1.048160571941785e-09,-0.0980104339792101
1.053929785308958e-09,-0.09130116667825922
1.060094494975481e-09,-0.07796877714792262
1.066216962012973e-09,-0.05807573523749224
1.071473384312326e-09,-0.03531299722719079
1.075990829422799e-09,-0.01113438434931346
1.078591226960743e-09,0.005087243705541636
1.081164838613894e-09,0.0232918872292851
1.083303202076155e-09,0.04008624520688688
1.084578376028603e-09,0.05076000900472939
1.085645013965298e-09,0.06011664804909355
1.086691914424829e-09,0.06973474217680163
1.087699566795088e-09,0.07936756241636143
1.08911684148923e-09,0.09339139424427179
1.090120163288374e-09,0.1035942142650821
1.091179718074767e-09,0.1145965015468687
1.09279958641387e-09,0.1318579371964357
1.095625915172075e-09,0.1632393807181298
1.1e-09,0.2149494009059363
1.100672068752167e-09,0.2247956576091056
1.101350994709368e-09,0.234727677155046
1.102293665072129e-09,0.2484793419627189
1.10417900579765e-09,0.2758376529864628
1.107949687248693e-09,0.3299977331371292
1.11385693838209e-09,0.4134888209605883
1.119266162904968e-09,0.4886258957135812
1.124686534944384e-09,0.562804751166763
1.130140780112913e-09,0.6364553762780976
1.135594024584915e-09,0.7091790889120587
1.141156510283588e-09,0.7823205342258279
1.146950734438169e-09,0.8566548218373374
1.153071668667075e-09,0.9317865245826458
1.159602883379721e-09,1.008680168673941
1.16662188619855e-09,1.089220951687917
1.174209927428278e-09,1.174568314459745
1.182475727865077e-09,1.265731040746123
1.191547688980409e-09,1.363772174708957
1.196418919564058e-09,1.415586376627619
1.206161380731357e-09,1.517608796000256
1.211949247326833e-09,1.577241742463066
1.217140404566833e-09,1.630152833164358
1.221300797913489e-09,1.672489538251169
1.2296215846068e-09,1.756092887756425
1.236713820023881e-09,1.826221661843367
1.250898290858042e-09,1.963289168843032
1.265427444267201e-09,2.099096743711057
1.280679186618841e-09,2.236385681670864
1.294908563178738e-09,2.359388926737724
1.306755409495083e-09,2.458025479506667
1.317155330109569e-09,2.541923812634684
1.326679091496189e-09,2.616836865539512
1.334885721050853e-09,2.68031978237087
1.342275862170524e-09,2.737012419071605
1.348997934710235e-09,2.788218921636531
1.355467939263188e-09,2.836736752709565
1.362108393224336e-09,2.885194944029702
1.369702440903313e-09,2.938563755607704
1.378625001967883e-09,2.998315912647189
1.388288337849782e-09,3.059456857453677
1.398515424518929e-09,3.120264191577028
1.407544408402627e-09,3.17076751131739
1.418775970242123e-09,3.22969905955134
1.428816178801231e-09,3.278969143626902
1.438017424881276e-09,3.321511165679373
1.446749484603385e-09,3.359773005856802
1.453128529470443e-09,3.386534919488886
1.458246961044469e-09,3.407349061446748
1.462057293027116e-09,3.422493909519149
1.469677956992409e-09,3.45203872204544
1.478812771059553e-09,3.485834622688723
1.486236012433372e-09,3.511783940728512
1.494446535905829e-09,3.540490859981055
1.50238289358795e-09,3.569481006786603
1.508565178116776e-09,3.593252255154115
1.514409892829326e-09,3.616703566036275
1.519820459370894e-09,3.63918277133661
1.525208860490377e-09,3.662193063330817
1.530629239896192e-09,3.685842530299471
1.536205222309991e-09,3.710564150090257
1.541997000219022e-09,3.736526978366609
1.54807502743544e-09,3.763942872584315
1.554501123559706e-09,3.792973559488662
1.561340836677739e-09,3.823777838223424
1.56865999917995e-09,3.856488562727852
1.576524454453724e-09,3.891204703799443
1.584994644871519e-09,3.927962679454406
1.594116743910203e-09,3.966698076814009
1.603908242335154e-09,4.007194317517803
1.614341115450074e-09,4.04903851092811
1.623730921237242e-09,4.085518651626372
1.635347417511907e-09,4.129097244481559
1.645865563381417e-09,4.167108994200026
1.656052495084983e-09,4.202682581219769
1.666645904622852e-09,4.238501932728276
1.677512290967755e-09,4.274194975806189
1.688782435425284e-09,4.310344721118859
1.700905389177933e-09,4.348428436790652
1.714691550087758e-09,4.390557506281101
1.731701504931089e-09,4.440037356254899
1.75297563934915e-09,4.497097476084774
1.7766844208181e-09,4.554188819736754
1.80232590022614e-09,4.608765252203853
1.831461051074526e-09,4.662759268537711
1.86551322462624e-09,4.716546824490255
1.90475377942272e-09,4.768051837830104
1.949086329349785e-09,4.815163684818334
1.998765183029145e-09,4.856793191205668
2.054503407567421e-09,4.892579851611249
2.117516918653194e-09,4.922558088425836
2.189653356941598e-09,4.946962999658243
2.273602004126404e-09,4.966122821069122
2.373314079165964e-09,4.980433638019462
2.473314079165964e-09,4.988906663519406
2.573314079165964e-09,4.993793783005822
2.673314079165964e-09,4.996564800680746
2.773314079165964e-09,4.998115135346809
2.873314079165964e-09,4.99897328298537
2.973314079165964e-09,4.999444145129469
3.073314079165964e-09,4.999700628842871
3.173314079165964e-09,4.999839481736162
3.273314079165964e-09,4.999914259039176
3.373314079165964e-09,4.999954347346224
3.473314079165964e-09,4.99997575424077
3.573314079165964e-09,4.999987145922654
3.673314079165965e-09,4.999993189520174
3.773314079165964e-09,4.999996387122119
3.873314079165964e-09,4.999998074840528
3.973314079165964e-09,4.999998963693432
4.073314079165964e-09,4.999999430897928
4.173314079165964e-09,4.999999676036735
4.273314079165965e-09,4.999999804451704
4.373314079165965e-09,4.999999871622396
4.473314079165965e-09,4.999999906710465
4.573314079165965e-09,4.999999925016878
4.673314079165965e-09,4.999999934557015
4.773314079165965e-09,4.999999939523537
4.873314079165965e-09,4.999999942106581
4.973314079165965e-09,4.999999943448802
5.073314079165965e-09,4.999999944145681
5.173314079165965e-09,4.999999944507224
5.273314079165965e-09,4.999999944694659
5.373314079165965e-09,4.999999944791767
5.473314079165965e-09,4.999999944842047
5.573314079165965e-09,4.999999944868065
5.673314079165965e-09,4.999999944881522
5.773314079165966e-09,4.999999944888478
5.873314079165966e-09,4.999999944892073
5.973314079165966e-09,4.999999944893929
6.036657039582982e-09,4.999999944894564
6.1e-09,4.999999944894973
6.102561977283629e-09,5.007877589652145
6.105250567641741e-09,5.01610999475825
6.109512936220819e-09,5.029066126424603
6.114351322142059e-09,5.043612525654718
6.115632243926859e-09,5.047447854258333
6.117151006665297e-09,5.052043221412038
6.118149169848856e-09,5.05515536590518
6.119105765784148e-09,5.058240046519692
6.120160308012198e-09,5.061719041019334
6.121601284628472e-09,5.066471673289996
6.122700538836132e-09,5.070025088756553
6.123881065009402e-09,5.073733823898489
6.12582928435766e-09,5.079559984748438
6.129538123541861e-09,5.089506534737431
6.132813973541794e-09,5.096968748932797
