/net6 X,/net6 Y
0,6.125552121542916e-08
1e-11,6.125551795897434e-08
3e-11,6.125551545008895e-08
6.999999999999999e-11,6.125551447042759e-08
1.5e-10,6.125551674693785e-08
2.5e-10,6.125552057018226e-08
3.5e-10,6.125552143898082e-08
4.5e-10,6.125552181877766e-08
5.5e-10,6.125552151001528e-08
6.499999999999999e-10,6.125552084347559e-08
7.499999999999999e-10,6.125552014591463e-08
8.499999999999999e-10,6.125552023461687e-08
9.25e-10,6.125552151930768e-08
1e-09,6.1255521213521e-08
1.000545736005504e-09,-0.0008997961688762566
1.000966127838819e-09,-0.001594462859243201
1.001806911505448e-09,-0.00298953177511899
1.00276777891353e-09,-0.004593141949877957
1.004689513729694e-09,-0.007826731290074078
1.007416130539114e-09,-0.01246347632598748
1.010103805767525e-09,-0.01707633479892624
1.012997463531258e-09,-0.02207380454819858
1.015174360071063e-09,-0.02584654039748825
1.017192872181113e-09,-0.02934920970214113
1.018987397028923e-09,-0.03246329850718549
1.020704016810106e-09,-0.03543974730892048
1.02301105495155e-09,-0.03943226914039364
1.026313344353609e-09,-0.04512398532103721
1.030209474031978e-09,-0.05179253399893626
1.034420491252551e-09,-0.05893017992639105
1.038895129633649e-09,-0.06642396380569783
1.043662781525898e-09,-0.0742974710072908
1.048810925934708e-09,-0.08266572389967684
1.054487238221201e-09,-0.09173143622573791
1.061045406803562e-09,-0.1020055385627564
1.065779615079018e-09,-0.1093595482796591
1.068496945585788e-09,-0.1139723996726145
1.071263348305456e-09,-0.1194517295237735
1.073683936179832e-09,-0.1244011753462425
1.075737416107026e-09,-0.1285153133080433
1.078183861167098e-09,-0.1332126614349481
1.0815937367457e-09,-0.1392084393018077
1.084031074955448e-09,-0.142905391191355
1.085411606411007e-09,-0.1445337021577982
1.086845372445819e-09,-0.1455355469941436
1.088077006001187e-09,-0.1458436502978223
1.089695504286854e-09,-0.1457666723444282
1.090897722440609e-09,-0.1454657869647236
1.092298069398498e-09,-0.1448794378456905
1.094600070723144e-09,-0.1433463792629906
1.097300035361572e-09,-0.1405933093777635
1.1e-09,-0.136750077040138
1.100832283661624e-09,-0.1349860978355057
1.101541374427821e-09,-0.1334131694776741
1.102320929099333e-09,-0.1315813169790617
1.103880038442357e-09,-0.1275671239363751
1.106924815429558e-09,-0.118398239538358
1.113014369403959e-09,-0.09506470039261583
1.118343223018409e-09,-0.0697363783357219
1.122635389679006e-09,-0.04634096067227735
1.127144714860741e-09,-0.01923506993686976
1.131583454730653e-09,0.009636170925168096
1.135932543398245e-09,0.0397464854453118
1.140486013173732e-09,0.07293400972239135
1.145267448159175e-09,0.1093499520370883
1.150294493682677e-09,0.1491069188425329
1.155631760461306e-09,0.1927038781695217
1.161741423657895e-09,0.2440534902002283
1.168762693402537e-09,0.3045953877556973
1.176844300000096e-09,0.3758570986806404
1.186189478473095e-09,0.4598283354232456
1.197055394685814e-09,0.5589481661388173
1.206854471149007e-09,0.6492618952899376
1.215137117851111e-09,0.7259771342754405
1.21974276875081e-09,0.7686314063704097
1.228954070550207e-09,0.8529904628451086
1.231333539876116e-09,0.8743512103936372
1.236092478527934e-09,0.9163336219801457
1.245610355831571e-09,0.9978799668343256
1.248735567805642e-09,1.024217571177847
1.254985991753785e-09,1.076451890082986
1.2579043644899e-09,1.100664172972702
1.26374110996213e-09,1.148769429958129
1.267209609719641e-09,1.177159449412684
1.274146609234663e-09,1.23350922864781
1.278483853143234e-09,1.268454324846746
1.287158340960376e-09,1.337703251957522
1.292736272428522e-09,1.381789883947479
1.299390787120348e-09,1.433945362833861
1.304411813315703e-09,1.472987212327735
1.308367160718339e-09,1.503760848893074
1.31627785552361e-09,1.564860009297383
1.323832742059545e-09,1.622589613000317
1.333949702173927e-09,1.698936737128977
1.342752122994477e-09,1.764452256766017
1.360356964635577e-09,1.892806017397854
1.376428913148367e-09,2.006671296082418
1.403504005630491e-09,2.190629412875376
1.425719708678633e-09,2.333815312408001
1.441867350516101e-09,2.433596197832726
1.455718236224959e-09,2.516619288298087
