/net8 X,/net8 Y,/net10 X,/net10 Y,/net7 X,/net7 Y,/net9 X,/net9 Y,/net3 X,/net3 Y
1.107096309906761e-09,4.426055404002634e-16,1.107096309906761e-09,4.426055404002634e-16,1.107096309906761e-09,4.426055404002634e-16,1.107096309906761e-09,4.426055404002634e-16,1.107096309906761e-09,-0.4645367866200725
1.109189655466188e-09,2.09369668397601e-16,1.109189655466188e-09,2.09369668397601e-16,1.109189655466188e-09,2.09369668397601e-16,1.109189655466188e-09,2.09369668397601e-16,1.109189655466188e-09,-0.4433669863995151
1.11170920242829e-09,4.091620007038949e-16,1.11170920242829e-09,4.091620007038949e-16,1.11170920242829e-09,4.091620007038949e-16,1.11170920242829e-09,4.091620007038949e-16,1.11170920242829e-09,-0.4164646141144338
1.114793546020783e-09,-4.080155595917403e-16,1.114793546020783e-09,-4.080155595917403e-16,1.114793546020783e-09,-4.080155595917403e-16,1.114793546020783e-09,-4.080155595917403e-16,1.114793546020783e-09,-0.3815782994691106
1.118569848354541e-09,-3.354794450082722e-16,1.118569848354541e-09,-3.354794450082722e-16,1.118569848354541e-09,-3.354794450082722e-16,1.118569848354541e-09,-3.354794450082722e-16,1.118569848354541e-09,-0.3362318142785699
1.123184537907867e-09,-4.194284449253425e-16,1.123184537907867e-09,-4.194284449253425e-16,1.123184537907867e-09,-4.194284449253425e-16,1.123184537907867e-09,-4.194284449253425e-16,1.123184537907867e-09,-0.2772203085167746
1.128813628068037e-09,1.093338366517948e-16,1.128813628068037e-09,1.093338366517948e-16,1.128813628068037e-09,1.093338366517948e-16,1.128813628068037e-09,1.093338366517948e-16,1.128813628068037e-09,-0.2004135515704883
1.135609859463978e-09,-1.043111351992336e-16,1.135609859463978e-09,-1.043111351992336e-16,1.135609859463978e-09,-1.043111351992336e-16,1.135609859463978e-09,-1.043111351992336e-16,1.135609859463978e-09,-0.1013864888615652
1.142893554437638e-09,4.083231576566505e-16,1.142893554437638e-09,4.083231576566505e-16,1.142893554437638e-09,4.083231576566505e-16,1.142893554437638e-09,4.083231576566505e-16,1.142893554437638e-09,0.01146463168326953
1.150424175456299e-09,-3.128382682265414e-17,1.150424175456299e-09,-3.128382682265414e-17,1.150424175456299e-09,-3.128382682265414e-17,1.150424175456299e-09,-3.128382682265414e-17,1.150424175456299e-09,0.1331398876632916
1.156271117554502e-09,-1.642478301016221e-16,1.156271117554502e-09,-1.642478301016221e-16,1.156271117554502e-09,-1.642478301016221e-16,1.156271117554502e-09,-1.642478301016221e-16,1.156271117554502e-09,0.2299274007011135
1.162346702985881e-09,-1.094554624946068e-16,1.162346702985881e-09,-1.094554624946068e-16,1.162346702985881e-09,-1.094554624946068e-16,1.162346702985881e-09,-1.094554624946068e-16,1.162346702985881e-09,0.3319887239176427
1.169793798092426e-09,2.259629313691507e-16,1.169793798092426e-09,2.259629313691507e-16,1.169793798092426e-09,2.259629313691507e-16,1.169793798092426e-09,2.259629313691507e-16,1.169793798092426e-09,0.4584982043544512
1.178288043842393e-09,8.107099491786733e-17,1.178288043842393e-09,8.107099491786733e-17,1.178288043842393e-09,8.107099491786733e-17,1.178288043842393e-09,8.107099491786733e-17,1.178288043842393e-09,0.6039921313680017
1.188145794697554e-09,9.638562373081123e-17,1.188145794697554e-09,9.638562373081123e-17,1.188145794697554e-09,9.638562373081123e-17,1.188145794697554e-09,9.638562373081123e-17,1.188145794697554e-09,0.7733646925391862
1.19467624017709e-09,2.15064996027428e-16,1.19467624017709e-09,2.15064996027428e-16,1.19467624017709e-09,2.15064996027428e-16,1.19467624017709e-09,2.15064996027428e-16,1.19467624017709e-09,0.8835065299909216
1.201173022739086e-09,4.189631483229693e-16,1.201173022739086e-09,4.189631483229693e-16,1.201173022739086e-09,4.189631483229693e-16,1.201173022739086e-09,4.189631483229693e-16,1.201173022739086e-09,0.9881298111221674
1.207013347603097e-09,-2.128492385548394e-16,1.207013347603097e-09,-2.128492385548394e-16,1.207013347603097e-09,-2.128492385548394e-16,1.207013347603097e-09,-2.128492385548394e-16,1.207013347603097e-09,1.079763399741923
1.213458974273899e-09,-2.964403176516965e-17,1.213458974273899e-09,-2.964403176516965e-17,1.213458974273899e-09,-2.964403176516965e-17,1.213458974273899e-09,-2.964403176516965e-17,1.213458974273899e-09,1.179517260765366
1.221380652902722e-09,-3.153832662596525e-16,1.221380652902722e-09,-3.153832662596525e-16,1.221380652902722e-09,-3.153832662596525e-16,1.221380652902722e-09,-3.153832662596525e-16,1.221380652902722e-09,1.300263968237164
1.237224010160369e-09,8.751358261881139e-17,1.237224010160369e-09,8.751358261881139e-17,1.237224010160369e-09,8.751358261881139e-17,1.237224010160369e-09,8.751358261881139e-17,1.237224010160369e-09,1.535340392633757
