/net1 X,/net1 Y,/net010 X,/net010 Y,/o1 X,/o1 Y
0,0,0,4.999999981631962,0,1.704906655848801e-08
1e-11,0,1e-11,4.999999981631962,1e-11,1.704906653561593e-08
3e-11,0,3e-11,4.999999981631961,3e-11,1.704906642900125e-08
6.999999999999999e-11,0,6.999999999999999e-11,4.99999998163196,6.999999999999999e-11,1.704906674443068e-08
1.5e-10,0,1.5e-10,4.99999998163196,1.5e-10,1.704906692333364e-08
2.5e-10,0,2.5e-10,4.99999998163196,2.5e-10,1.704906685893217e-08
3.5e-10,0,3.5e-10,4.999999981631962,3.5e-10,1.704906650236236e-08
4.5e-10,0,4.5e-10,4.999999981631962,4.5e-10,1.704906645826908e-08
5.5e-10,0,5.5e-10,4.999999981631962,5.5e-10,1.704906661449204e-08
6.499999999999999e-10,0,6.499999999999999e-10,4.999999981631962,6.499999999999999e-10,1.704906674038493e-08
7.499999999999999e-10,0,7.499999999999999e-10,4.999999981631962,7.499999999999999e-10,1.704906647364006e-08
8.499999999999999e-10,0,8.499999999999999e-10,4.999999981631962,8.499999999999999e-10,1.704906627887683e-08
9.25e-10,0,9.25e-10,4.999999981631961,9.25e-10,1.70490666891305e-08
1e-09,0,1e-09,4.999999981631961,1e-09,1.704906689046838e-08
1.000042608538347e-09,0.002130426917340556,1.000042608538347e-09,5.000179777063686,1.000042608538347e-09,3.796904994942624e-05
1.000073754935942e-09,0.00368774679708731,1.000073754935942e-09,5.000311162631162,1.000073754935942e-09,6.567881182189999e-05
1.000136047731132e-09,0.006802386556580818,1.000136047731132e-09,5.000573766571798,1.000136047731132e-09,0.0001209699742983709
1.000260633321511e-09,0.01303166607556783,1.000260633321511e-09,5.001098261218604,1.000260633321511e-09,0.000231004576946778
1.000509804502271e-09,0.02549022511354186,1.000509804502271e-09,5.00214437463416,1.000509804502271e-09,0.000448870794512876
1.00100814686379e-09,0.05040734318948992,1.00100814686379e-09,5.004225179914128,1.00100814686379e-09,0.0008759028047502737
1.002004831586828e-09,0.100241579341386,1.002004831586828e-09,5.008341958958178,1.002004831586828e-09,0.001696198029516813
1.003998201032904e-09,0.1999100516451783,1.003998201032904e-09,5.016402979751473,1.003998201032904e-09,0.003209687061489369
1.00650499252907e-09,0.3252496264535004,1.00650499252907e-09,5.026230932276889,1.00650499252907e-09,0.004891999628729154
1.00912747689603e-09,0.4563738448015141,1.00912747689603e-09,5.036167482083813,1.00912747689603e-09,0.006414496126843356
1.01189363268823e-09,0.594681634411498,1.01189363268823e-09,5.046295321418413,1.01189363268823e-09,0.007787536671622034
1.014792322141935e-09,0.7396161070967335,1.014792322141935e-09,5.056569199656045,1.014792322141935e-09,0.009005406511022935
1.017736501211152e-09,0.8868250605575775,1.017736501211152e-09,5.067050768517213,1.017736501211152e-09,0.01011424075505718
1.019888436646341e-09,0.994421832317043,1.019888436646341e-09,5.075278836681979,1.019888436646341e-09,0.01095828367380725
1.02155364376407e-09,1.077682188203507,1.02155364376407e-09,5.081565304138433,1.02155364376407e-09,0.01154730404233561
1.023044811942841e-09,1.152240597142058,1.023044811942841e-09,5.086894074755548,1.023044811942841e-09,0.01198087299667256
1.024610033147606e-09,1.230501657380288,1.024610033147606e-09,5.092102911716732,1.024610033147606e-09,0.01232994179001904
1.027166873065279e-09,1.358343653263939,1.027166873065279e-09,5.09966586541255,1.027166873065279e-09,0.01266529704847472
1.032280552900625e-09,1.614027645031241,1.032280552900625e-09,5.11098307092345,1.032280552900625e-09,0.01251866708728942
1.036325584228337e-09,1.816279211416858,1.036325584228337e-09,5.116201089030302,1.036325584228337e-09,0.01169805767828456
1.039862736000926e-09,1.993136800046287,1.039862736000926e-09,5.117988578982092,1.039862736000926e-09,0.010527315454885
1.043376578762683e-09,2.168828938134127,1.043376578762683e-09,5.117157081204517,1.043376578762683e-09,0.008996763312740514
1.04684357552471e-09,2.342178776235497,1.04684357552471e-09,5.113764242245217,1.04684357552471e-09,0.007171479241154698
1.050395137275866e-09,2.519756863793318,1.050395137275866e-09,5.107619039508266,1.050395137275866e-09,0.005017333687053416
1.054111990153835e-09,2.705599507691741,1.054111990153835e-09,5.098270916140744,1.054111990153835e-09,0.002492632675055403
1.058046289599704e-09,2.902314479985209,1.058046289599704e-09,5.085090695617298,1.058046289599704e-09,-0.0004660220230352904
1.06369879161272e-09,3.184939580636021,1.06369879161272e-09,5.060123161206769,1.06369879161272e-09,-0.005310622234790182
1.066513049423782e-09,3.32565247118908,1.066513049423782e-09,5.044969431001971,1.066513049423782e-09,-0.007893495861995746
1.069080237462073e-09,3.454011873103647,1.069080237462073e-09,5.029513675141082,1.069080237462073e-09,-0.01034505991510166
1.074214613538656e-09,3.710730676932783,1.074214613538656e-09,4.993733770804713,1.074214613538656e-09,-0.01551376622117413
1.076234291878371e-09,3.811714593918569,1.076234291878371e-09,4.977885704067361,1.076234291878371e-09,-0.01763528415701386
1.078219312718656e-09,3.910965635932813,1.078219312718656e-09,4.960987254465131,1.078219312718656e-09,-0.019836127103252
1.079728078445925e-09,3.986403922296236,1.079728078445925e-09,4.946838519399588,1.079728078445925e-09,-0.02167127471048227
1.081199472504808e-09,4.059973625240418,1.081199472504808e-09,4.931266857894347,1.081199472504808e-09,-0.02373361408366885
1.082417669174079e-09,4.120883458703968,1.082417669174079e-09,4.916969846023719,1.082417669174079e-09,-0.02565157389717615
1.083837258012436e-09,4.191862900621776,1.083837258012436e-09,4.898996593832333,1.083837258012436e-09,-0.02805114178414944
1.085253766628927e-09,4.262688331446355,1.085253766628927e-09,4.880083616836022,1.085253766628927e-09,-0.03052108087898954
1.086562244554855e-09,4.328112227742758,1.086562244554855e-09,4.861967315728411,1.086562244554855e-09,-0.03281849786743471
1.088158670410058e-09,4.407933520502917,1.088158670410058e-09,4.839105057342779,1.088158670410058e-09,-0.0356236431433408
1.090811550845643e-09,4.540577542282159,1.090811550845643e-09,4.799296658096051,1.090811550845643e-09,-0.0402851560887697
1.096117311716813e-09,4.805865585840642,1.096117311716813e-09,4.712783732611616,1.096117311716813e-09,-0.04963872491954468
1.1e-09,5,1.1e-09,4.643542671570809,1.1e-09,-0.05653826330773115
1.100693313836299e-09,5,1.100693313836299e-09,4.628646755866386,1.100693313836299e-09,-0.05818274626768617
1.101471324194904e-09,5,1.101471324194904e-09,4.611917299449903,1.101471324194904e-09,-0.05999504592161224
1.102420627769429e-09,5,1.102420627769429e-09,4.591492057243478,1.102420627769429e-09,-0.06214408071561402
1.104319234918479e-09,5,1.104319234918479e-09,4.550616034800198,1.104319234918479e-09,-0.0662329839033983
1.108116449216579e-09,5,1.108116449216579e-09,4.468947153418976,1.108116449216579e-09,-0.07367056389435758
1.111965546048715e-09,5,1.111965546048715e-09,4.387524997952863,1.111965546048715e-09,-0.0804486090087753
1.115256709658899e-09,5,1.115256709658899e-09,4.321582349899235,1.115256709658899e-09,-0.08594613490217688
1.118187590366788e-09,5,1.118187590366788e-09,4.266469196023008,1.118187590366788e-09,-0.09060283436695354
1.120649319573024e-09,5,1.120649319573024e-09,4.221783522528055,1.120649319573024e-09,-0.09412260321588509
1.123234625566923e-09,5,1.123234625566923e-09,4.175594338052541,1.123234625566923e-09,-0.09724535402859262
