/net010 X,/net010 Y,/o1 X,/o1 Y,/net1 X,/net1 Y
0,4.999999990889179,0,1.704906616105221e-08,0,0
2.5e-11,4.999999990889179,2.5e-11,1.704906631200035e-08,2.5e-11,0
7.5e-11,4.999999990889179,7.5e-11,1.7049066364094e-08,7.5e-11,0
1.75e-10,4.999999990889179,1.75e-10,1.70490661160306e-08,1.75e-10,0
3.749999999999999e-10,4.999999990889179,3.749999999999999e-10,1.704906617342849e-08,3.749999999999999e-10,0
6.25e-10,4.999999990889179,6.25e-10,1.704906621510668e-08,6.25e-10,0
8.125e-10,4.999999990889179,8.125e-10,1.704906653747107e-08,8.125e-10,0
1e-09,4.999999990889179,1e-09,1.704906643206952e-08,1e-09,0
1.000038726150484e-09,5.000282713517401,1.000038726150484e-09,5.970473675779493e-05,1.000038726150484e-09,0.001936307524204584
1.000067793867445e-09,5.000494828507105,1.000067793867445e-09,0.0001044507332374206,1.000067793867445e-09,0.003389693372268936
1.000125929301368e-09,5.000918679058856,1.000125929301368e-09,0.0001937230291746509,1.000125929301368e-09,0.00629646506839764
1.000242200169213e-09,5.001764760071906,1.000242200169213e-09,0.0003713304188475487,1.000242200169213e-09,0.01211000846065505
1.000474741904903e-09,5.003450390932418,1.000474741904903e-09,0.0007227760286332718,1.000474741904903e-09,0.02373709524516987
1.000939825376284e-09,5.006795734288874,1.000939825376284e-09,0.001410782983813994,1.000939825376284e-09,0.0469912688141995
1.001869992319045e-09,5.013384852251058,1.001869992319045e-09,0.00272904043950789,1.001869992319045e-09,0.09349961595225878
1.003730326204568e-09,5.026173454540858,1.003730326204568e-09,0.005148298320350136,1.003730326204568e-09,0.1865163102283773
1.005771442087772e-09,5.039638167771776,1.005771442087772e-09,0.007494264693767269,1.005771442087772e-09,0.2885721043886049
1.007904795831955e-09,5.053118304161895,1.007904795831955e-09,0.009633119629334415,1.007904795831955e-09,0.3952397915977395
1.0101716914449e-09,5.066830120124553,1.0101716914449e-09,0.0115926373968337,1.0101716914449e-09,0.5085845722450064
1.012527564312661e-09,5.080533806352626,1.012527564312661e-09,0.0133396005521019,1.012527564312661e-09,0.6263782156330323
1.014780352607767e-09,5.09374839812506,1.014780352607767e-09,0.01488354429780902,1.014780352607767e-09,0.739017630388342
1.016366096376383e-09,5.103596058136357,1.016366096376383e-09,0.015999685917158,1.016366096376383e-09,0.8183048188191363
1.017755560973179e-09,5.112153659558567,1.017755560973179e-09,0.01690676388867446,1.017755560973179e-09,0.8877780486589315
1.019026040907207e-09,5.11959100409199,1.019026040907207e-09,0.01761325728377727,1.019026040907207e-09,0.9513020453603319
1.020285748588704e-09,5.126478882892791,1.020285748588704e-09,0.01817833304520547,1.020285748588704e-09,1.014287429435209
1.022119270809564e-09,5.135535513441075,1.022119270809564e-09,0.01875332675235434,1.022119270809564e-09,1.105963540478175
1.025663161514373e-09,5.149581663741446,1.025663161514373e-09,0.01907161312272449,1.025663161514373e-09,1.283158075718671
1.029171709731438e-09,5.158895782848369,1.029171709731438e-09,0.0184426345734474,1.029171709731438e-09,1.458585486571921
1.032113870400623e-09,5.163157727519177,1.032113870400623e-09,0.01726478234071216,1.032113870400623e-09,1.605693520031134
1.034974237790043e-09,5.164197225795295,1.034974237790043e-09,0.0156173777963897,1.034974237790043e-09,1.748711889502122
1.037811843772946e-09,5.162219392357999,1.037811843772946e-09,0.01355252067160914,1.037811843772946e-09,1.890592188647287
1.040680730360719e-09,5.157195163682966,1.040680730360719e-09,0.01108264356296908,1.040680730360719e-09,2.034036518035963
1.043650248748831e-09,5.148816029290095,1.043650248748831e-09,0.008172429411397487,1.043650248748831e-09,2.182512437441531
1.046752351160573e-09,5.136630467858598,1.046752351160573e-09,0.004797044577403858,1.046752351160573e-09,2.337617558028632
1.050023518749786e-09,5.119991210407511,1.050023518749786e-09,0.0009133832768540067,1.050023518749786e-09,2.501175937489308
1.053517311258688e-09,5.097922274844225,1.053517311258688e-09,-0.003725760585790424,1.053517311258688e-09,2.675865562934416
1.056206624370028e-09,5.077873579129116,1.056206624370028e-09,-0.007537174218511684,1.056206624370028e-09,2.810331218501392
1.058556587247035e-09,5.058136382028209,1.058556587247035e-09,-0.01100322747488919,1.058556587247035e-09,2.927829362351767
1.061531952045516e-09,5.030099182096185,1.061531952045516e-09,-0.01556771599361109,1.061531952045516e-09,3.076597602275811
1.067482681642478e-09,4.963968953208763,1.067482681642478e-09,-0.02516568791991294,1.067482681642478e-09,3.374134082123898
1.0717841369443e-09,4.906438912065583,1.0717841369443e-09,-0.03271588749630144,1.0717841369443e-09,3.589206847215003
1.074008749147005e-09,4.872361774540455,1.074008749147005e-09,-0.0370317347212406,1.074008749147005e-09,3.70043745735025
1.076127453519596e-09,4.835674538213505,1.076127453519596e-09,-0.04168382531755368,1.076127453519596e-09,3.806372675979792
1.077825203290373e-09,4.802160981848605,1.077825203290373e-09,-0.04600189403162617,1.077825203290373e-09,3.891260164518668
1.07929926224284e-09,4.770486837002317,1.07929926224284e-09,-0.05006597340051031,1.07929926224284e-09,3.964963112141999
1.080921320821383e-09,4.73344116634969,1.080921320821383e-09,-0.05473208244639694,1.080921320821383e-09,4.046066041069127
1.082492834840781e-09,4.695066270318989,1.082492834840781e-09,-0.05949477894624487,1.082492834840781e-09,4.124641742039054
1.084744624304849e-09,4.634948013042698,1.084744624304849e-09,-0.06688330768449183,1.084744624304849e-09,4.237231215242423
1.086882429682741e-09,4.57371025390231,1.086882429682741e-09,-0.07418487819667373,1.086882429682741e-09,4.344121484137058
1.088569102767089e-09,4.523241694616846,1.088569102767089e-09,-0.08000045259544908,1.088569102767089e-09,4.428455138354444
1.090525666923217e-09,4.462563010450587,1.090525666923217e-09,-0.08681627672099204,1.090525666923217e-09,4.526283346160827
1.092871295223434e-09,4.387660599497741,1.092871295223434e-09,-0.09525796307526892,1.092871295223434e-09,4.643564761171715
1.095272324254065e-09,4.311145122159868,1.095272324254065e-09,-0.1046588162743337,1.095272324254065e-09,4.76361621270325
1.097156710348816e-09,4.252023026154852,1.097156710348816e-09,-0.1125854790754115,1.097156710348816e-09,4.857835517440799
1.098787669381782e-09,4.200566634678904,1.098787669381782e-09,-0.1194955075376881,1.098787669381782e-09,4.939383469089118
1.1e-09,4.161734087506051,1.1e-09,-0.1245117250729863,1.1e-09,5
1.100527687167e-09,4.142153704540503,1.100527687167e-09,-0.1272845220085726,1.100527687167e-09,5
1.101024021950472e-09,4.12375084130406,1.101024021950472e-09,-0.1298335205086856,1.101024021950472e-09,5
1.101530138355255e-09,4.105000343066477,1.101530138355255e-09,-0.1323496199694421,1.101530138355255e-09,5
1.102542371164822e-09,4.067541687704093,1.102542371164822e-09,-0.1370961303820822,1.102542371164822e-09,5
1.104374819790745e-09,3.999856049283947,1.104374819790745e-09,-0.1446796332577589,1.104374819790745e-09,5
1.107472629839221e-09,3.88578930238535,1.107472629839221e-09,-0.1545067936109853,1.107472629839221e-09,5
1.113089652723178e-09,3.68022708843207,1.113089652723178e-09,-0.1628641278399572,1.113089652723178e-09,5
1.119788406074876e-09,3.43752857518412,1.119788406074876e-09,-0.1573757087273553,1.119788406074876e-09,5
1.125296736336884e-09,3.240246557645114,1.125296736336884e-09,-0.1405917528545688,1.125296736336884e-09,5
1.131114676704499e-09,3.034447499291945,1.131114676704499e-09,-0.1110548091905576,1.131114676704499e-09,5
1.138061617458015e-09,2.792884106262147,1.138061617458015e-09,-0.05987720602244548,1.138061617458015e-09,5
1.143902979664304e-09,2.594313967325975,1.143902979664304e-09,-0.002995787199782919,1.143902979664304e-09,5
1.146532416268967e-09,2.506666706653755,1.146532416268967e-09,0.02558833257105822,1.146532416268967e-09,5
1.148756039688044e-09,2.433620014750451,1.148756039688044e-09,0.05167961471904482,1.148756039688044e-09,5
1.151119202691124e-09,2.357275411875008,1.151119202691124e-09,0.08153548916762797,1.151119202691124e-09,5
1.153999117860091e-09,2.266304273424464,1.153999117860091e-09,0.1210307119784158,1.153999117860091e-09,5
1.157678888001409e-09,2.153735641706344,1.157678888001409e-09,0.1768183781239579,1.157678888001409e-09,5
1.161214457710618e-09,2.049615203186228,1.161214457710618e-09,0.2366051337186472,1.161214457710618e-09,5
