/net03 X,/net03 Y,/o X,/o Y,/net1 X,/net1 Y
0,4.999999981631962,0,1.704906655848801e-08,0,0
2.5e-11,4.999999981631962,2.5e-11,1.704906651864507e-08,2.5e-11,0
7.5e-11,4.999999981631962,7.5e-11,1.704906638372566e-08,7.5e-11,0
1.75e-10,4.999999981631962,1.75e-10,1.704906627407894e-08,1.75e-10,0
3.749999999999999e-10,4.999999981631962,3.749999999999999e-10,1.704906660907924e-08,3.749999999999999e-10,0
6.25e-10,4.999999981631962,6.25e-10,1.704906684442001e-08,6.25e-10,0
8.125e-10,4.999999981631962,8.125e-10,1.704906650358407e-08,8.125e-10,0
1e-09,4.999999981631962,1e-09,1.704906646000565e-08,1e-09,0
1.000038726150484e-09,5.000307392777836,1.000038726150484e-09,6.491697275933462e-05,1.000038726150484e-09,0.001936307524204584
1.000067793867445e-09,5.000538021457677,1.000067793867445e-09,0.0001135685804261298,1.000067793867445e-09,0.003389693372268936
1.000125929301368e-09,5.000998822272644,1.000125929301368e-09,0.0002106238287653245,1.000125929301368e-09,0.00629646506839764
1.000242200169213e-09,5.001918471221404,1.000242200169213e-09,0.000403675833340284,1.000242200169213e-09,0.01211000846065505
1.000474741904903e-09,5.003749897165161,1.000474741904903e-09,0.0007855232908294555,1.000474741904903e-09,0.02373709524516987
1.000939825376284e-09,5.007381529491147,1.000939825376284e-09,0.00153241696669744,1.000939825376284e-09,0.0469912688141995
1.001869992319045e-09,5.014522619839692,1.001869992319045e-09,0.002961072610405492,1.001869992319045e-09,0.09349961595225878
1.003691138565883e-09,5.028052512696376,1.003691138565883e-09,0.005521942533307544,1.003691138565883e-09,0.1845569282941284
1.005646003243173e-09,5.041946419290643,1.005646003243173e-09,0.007948756319608679,1.005646003243173e-09,0.2823001621586594
1.007689216015017e-09,5.055817408317205,1.007689216015017e-09,0.01016153937371349,1.007689216015017e-09,0.3844608007508661
1.009862451356061e-09,5.069894688878367,1.009862451356061e-09,0.01218972899889667,1.009862451356061e-09,0.4931225678030622
1.012136938198471e-09,5.083941257326988,1.012136938198471e-09,0.01399370229522503,1.012136938198471e-09,0.6068469099235643
1.014525914717883e-09,5.098025709583162,1.014525914717883e-09,0.0155844983196601,1.014525914717883e-09,0.7262957358941433
1.016968229009347e-09,5.112105754936718,1.016968229009347e-09,0.01699495728797768,1.016968229009347e-09,0.8484114504673582
