/net1 X,/net1 Y,/net03 X,/net03 Y,/o X,/o Y
0,0,0,4.999999990889179,0,1.704906616105221e-08
1e-11,0,1e-11,4.999999990889179,1e-11,1.704906625205191e-08
3e-11,0,3e-11,4.999999990889179,3e-11,1.704906617153964e-08
6.999999999999999e-11,0,6.999999999999999e-11,4.999999990889179,6.999999999999999e-11,1.704906605344099e-08
1.5e-10,0,1.5e-10,4.999999990889179,1.5e-10,1.704906631816335e-08
2.5e-10,0,2.5e-10,4.999999990889179,2.5e-10,1.704906653693403e-08
3.5e-10,0,3.5e-10,4.999999990889179,3.5e-10,1.704906609370143e-08
4.5e-10,0,4.5e-10,4.999999990889179,4.5e-10,1.704906616654122e-08
5.5e-10,0,5.5e-10,4.999999990889179,5.5e-10,1.704906621106388e-08
6.499999999999999e-10,0,6.499999999999999e-10,4.999999990889179,6.499999999999999e-10,1.704906644782631e-08
7.499999999999999e-10,0,7.499999999999999e-10,4.999999990889179,7.499999999999999e-10,1.704906631899784e-08
8.499999999999999e-10,0,8.499999999999999e-10,4.999999990889179,8.499999999999999e-10,1.704906649969826e-08
9.25e-10,0,9.25e-10,4.999999990889179,9.25e-10,1.704906630685147e-08
1e-09,0,1e-09,4.999999990889179,1e-09,1.704906656693899e-08
1.000048387895121e-09,0.002419394756067303,1.000048387895121e-09,5.000546512992935,1.000048387895121e-09,0.0001153545624759465
1.000082557713316e-09,0.00412788566580807,1.000082557713316e-09,5.0009321553281,1.000082557713316e-09,0.0001966651919220034
1.000150897349706e-09,0.007544867485289603,1.000150897349706e-09,5.001702261995097,1.000150897349706e-09,0.0003587430480522147
1.000287576622485e-09,0.01437883112425267,1.000287576622485e-09,5.003237420018816,1.000287576622485e-09,0.0006805727951593824
1.000560935168044e-09,0.02804675840217881,1.000560935168044e-09,5.006287384424105,1.000560935168044e-09,0.001314893209506898
1.001107652259161e-09,0.05538261295803108,1.001107652259161e-09,5.01230694229025,1.001107652259161e-09,0.002546833026816973
1.002201086441395e-09,0.1100543220697356,1.002201086441395e-09,5.024034269929322,1.002201086441395e-09,0.004869720932848834
1.003790479130191e-09,0.1895239565095479,1.003790479130191e-09,5.040374747437043,1.003790479130191e-09,0.0079316996566126
1.005482786213594e-09,0.2741393106796828,1.005482786213594e-09,5.056907425908767,1.005482786213594e-09,0.01081339660411795
1.007274663058972e-09,0.3637331529485797,1.007274663058972e-09,5.073506716006001,1.007274663058972e-09,0.01347763624822504
1.009169846683982e-09,0.4584923341990719,1.009169846683982e-09,5.090127267203245,1.009169846683982e-09,0.01590622748891041
1.011154821892581e-09,0.557741094629042,1.011154821892581e-09,5.106607321544598,1.011154821892581e-09,0.01807149075714995
1.013195381280529e-09,0.6597690640264476,1.013195381280529e-09,5.122847340249225,1.013195381280529e-09,0.01998140976686957
1.014990970089971e-09,0.7495485044985363,1.014990970089971e-09,5.137408553261654,1.014990970089971e-09,0.02158994424700723
1.016273339395089e-09,0.8136669697544395,1.016273339395089e-09,5.148277462299909,1.016273339395089e-09,0.02276527560401962
1.017680745312963e-09,0.8840372656481682,1.017680745312963e-09,5.159986379642187,1.017680745312963e-09,0.0239424761337643
1.018824682658965e-09,0.9412341329482372,1.018824682658965e-09,5.168943675553109,1.018824682658965e-09,0.02473531322183069
1.01998220582045e-09,0.9991102910224802,1.01998220582045e-09,5.177344478115619,1.01998220582045e-09,0.0253630807922984
1.021676173726878e-09,1.083808686343876,1.021676173726878e-09,5.188319111631341,1.021676173726878e-09,0.02595909946644192
1.025064109539733e-09,1.253205476986668,1.025064109539733e-09,5.205386716492308,1.025064109539733e-09,0.02606948952841398
1.028021389267158e-09,1.401069463357898,1.028021389267158e-09,5.214969969435232,1.028021389267158e-09,0.0250942428692708
1.03055269672883e-09,1.527634836441489,1.03055269672883e-09,5.219285558985099,1.03055269672883e-09,0.02355476885560489
1.033065375366168e-09,1.653268768308378,1.033065375366168e-09,5.220082376033379,1.033065375366168e-09,0.02146321971836328
1.035571118709656e-09,1.778555935482773,1.035571118709656e-09,5.217481678805752,1.035571118709656e-09,0.0188883461968028
1.038131201795655e-09,1.906560089782738,1.038131201795655e-09,5.21139006914381,1.038131201795655e-09,0.01581814391359724
1.040796181264217e-09,2.039809063210829,1.040796181264217e-09,5.201428680737255,1.040796181264217e-09,0.01221272194184067
1.043587653538286e-09,2.179382676914294,1.043587653538286e-09,5.187097282803215,1.043587653538286e-09,0.008048615284562416
1.046536266844872e-09,2.326813342243601,1.046536266844872e-09,5.167679049538186,1.046536266844872e-09,0.003277264191645446
1.049686882125921e-09,2.484344106296049,1.049686882125921e-09,5.142098953017983,1.049686882125921e-09,-0.002294829145987246
1.053195235850781e-09,2.659761792539032,1.053195235850781e-09,5.107710861272007,1.053195235850781e-09,-0.00907879410324409
1.055395090178294e-09,2.769754508914684,1.055395090178294e-09,5.082919657053252,1.055395090178294e-09,-0.01353028280282399
1.057500898928025e-09,2.875044946401226,1.057500898928025e-09,5.056800118248043,1.057500898928025e-09,-0.01793032829722924
1.061712516427486e-09,3.085625821374309,1.061712516427486e-09,4.99729121232456,1.061712516427486e-09,-0.02713724388169501
