/O X,/O Y,/net8 X,/net8 Y,/net3 X,/net3 Y
0,4.999999981632027,0,2.892568355444196e-08,0,5
2.5e-11,4.999999981631999,2.5e-11,2.892568203676996e-08,2.5e-11,5
7.5e-11,4.999999981631976,7.5e-11,2.892568176457612e-08,7.5e-11,5
1.75e-10,4.999999981631961,1.75e-10,2.892568218195709e-08,1.75e-10,5
3.749999999999999e-10,4.99999998163196,3.749999999999999e-10,2.892568326882854e-08,3.749999999999999e-10,5
6.25e-10,4.999999981631961,6.25e-10,2.892568413349105e-08,6.25e-10,5
8.125e-10,4.999999981631962,8.125e-10,2.892568402118667e-08,8.125e-10,5
1e-09,4.999999981631962,1e-09,2.89256834366971e-08,1e-09,5
1.000268128140916e-09,4.999541880846313,1.000268128140916e-09,-0.002157387252898325,1.000268128140916e-09,4.986593592954195
1.000463450761312e-09,4.999209671526131,1.000463450761312e-09,-0.003728261842336431,1.000463450761312e-09,4.976827461934395
1.000854096002104e-09,4.998550986228013,1.000854096002104e-09,-0.00686786476534128,1.000854096002104e-09,4.957295199894796
1.001360982370372e-09,4.997708515910182,1.001360982370372e-09,-0.01093622106010683,1.001360982370372e-09,4.931950881481412
1.002374755106907e-09,4.996066460169237,1.002374755106907e-09,-0.01904672258536437,1.002374755106907e-09,4.881262244654643
1.00383172204701e-09,4.993808932797006,1.00383172204701e-09,-0.03061859370652749,1.00383172204701e-09,4.80841389764949
1.005331462173048e-09,4.99161325411701,1.005331462173048e-09,-0.0423966360705998,1.005331462173048e-09,4.733426891347598
1.006989987464709e-09,4.989337791506445,1.006989987464709e-09,-0.05522766134860076,1.006989987464709e-09,4.650500626764563
1.008853804200498e-09,4.986970461929242,1.008853804200498e-09,-0.06936845626047317,1.008853804200498e-09,4.5573097899751
1.010947445147517e-09,4.984532788545605,1.010947445147517e-09,-0.08492804871304786,1.010947445147517e-09,4.452627742624137
1.013244213909782e-09,4.982003739989763,1.013244213909782e-09,-0.1021320209601156,1.013244213909782e-09,4.337789304510897
1.014929544401475e-09,4.98010427425653,1.014929544401475e-09,-0.1154979340730444,1.014929544401475e-09,4.253522779926236
1.016245301760718e-09,4.978664572593788,1.016245301760718e-09,-0.1260432265805595,1.016245301760718e-09,4.1877349119641
1.01762464028704e-09,4.977275750652901,1.01762464028704e-09,-0.1368139529123011,1.01762464028704e-09,4.118767985647983
