/O X,/O Y,/net8 X,/net8 Y,/net3 X,/net3 Y
0,4.999999981632027,0,2.892568355444196e-08,0,5
2.5e-11,4.999999981631999,2.5e-11,2.892568203676996e-08,2.5e-11,5
7.5e-11,4.999999981631976,7.5e-11,2.892568176457612e-08,7.5e-11,5
1.75e-10,4.999999981631961,1.75e-10,2.892568247863679e-08,1.75e-10,5
3.749999999999999e-10,4.99999998163196,3.749999999999999e-10,2.89256834107686e-08,3.749999999999999e-10,5
6.25e-10,4.999999981631962,6.25e-10,2.892568386205011e-08,6.25e-10,5
8.125e-10,4.999999981631962,8.125e-10,2.89256838867433e-08,8.125e-10,5
1e-09,4.999999981631962,1e-09,2.892568349477459e-08,1e-09,5
1.000245981699278e-09,4.999917921981769,1.000245981699278e-09,-0.0003861896499104642,1.000245981699278e-09,4.987700915036094
1.000429595734062e-09,4.999855625319676,1.000429595734062e-09,-0.0006804789082467134,1.000429595734062e-09,4.978520213296884
1.000796823803631e-09,4.999727160050227,1.000796823803631e-09,-0.00129169364398743,1.000796823803631e-09,4.960158809818463
1.001179228139779e-09,4.999587941141241,1.001179228139779e-09,-0.001960640043332143,1.001179228139779e-09,4.941038593011069
1.001944036812074e-09,4.99929459152777,1.001944036812074e-09,-0.003391388696395568,1.001944036812074e-09,4.902798159396283
1.002957178036607e-09,4.998880464744356,1.002957178036607e-09,-0.005456493954297356,1.002957178036607e-09,4.85214109816967
1.003944729101221e-09,4.998454591834926,1.003944729101221e-09,-0.007631475474230812,1.003944729101221e-09,4.802763544938961
1.005003271208703e-09,4.997980326564258,1.005003271208703e-09,-0.0101126152698297,1.005003271208703e-09,4.749836439564832
1.006151947649265e-09,4.997451954665922,1.006151947649265e-09,-0.01294981925065713,1.006151947649265e-09,4.692402617536749
1.007393993666832e-09,4.996871986425048,1.007393993666832e-09,-0.01615451156092726,1.007393993666832e-09,4.6303003166584
1.008748376543576e-09,4.996236742270938,1.008748376543576e-09,-0.01977762388522991,1.008748376543576e-09,4.562581172821221
1.010226760096468e-09,4.995544957065455,1.010226760096468e-09,-0.02386259895866208,1.010226760096468e-09,4.48866199517659
1.011841440959524e-09,4.994778628526086,1.011841440959524e-09,-0.02854044450065656,1.011841440959524e-09,4.407927952023822
1.012779354514499e-09,4.994300366236947,1.012779354514499e-09,-0.03149525599140126,1.012779354514499e-09,4.361032274275034
