O X,O Y,net8 X,net8 Y,net3 X,net3 Y
1.379147225013858e-09,1.392950066052504,1.379147225013858e-09,3.872669292111099,1.379147225013858e-09,0
1.386537773984765e-09,1.144501422317031,1.386537773984765e-09,3.922771563925545,1.386537773984765e-09,0
1.392565001715098e-09,0.9670865859311774,1.392565001715098e-09,3.961964752751216,1.392565001715098e-09,0
1.401695890483207e-09,0.7414731684222166,1.401695890483207e-09,4.020400021759351,1.401695890483207e-09,0
1.415651029006903e-09,0.4849334658767178,1.415651029006903e-09,4.108976715130855,1.415651029006903e-09,0
1.427424720286029e-09,0.3359323572862694,1.427424720286029e-09,4.182726186358106,1.427424720286029e-09,0
1.437713199061545e-09,0.2443847407522906,1.437713199061545e-09,4.245788362762561,1.437713199061545e-09,0
1.448117773601437e-09,0.1784650074370638,1.448117773601437e-09,4.307890341582062,1.448117773601437e-09,0
1.458838347636308e-09,0.1303549011075444,1.458838347636308e-09,4.36985785560422,1.458838347636308e-09,0
1.470382432973074e-09,0.09432358637700397,1.470382432973074e-09,4.43311972089742,1.470382432973074e-09,0
1.483536730412191e-09,0.06694669501953218,1.483536730412191e-09,4.499277882477416,1.483536730412191e-09,0
1.498624863828416e-09,0.04706131705320862,1.498624863828416e-09,4.566805920476138,1.498624863828416e-09,0
1.515660527399289e-09,0.03340516222306002,1.515660527399289e-09,4.63281442923066,1.515660527399289e-09,0
1.53539943762005e-09,0.02397280935279023,1.53539943762005e-09,4.697156948826392,1.53539943762005e-09,0
1.559171817016178e-09,0.01720692811179533,1.559171817016178e-09,4.759984143738858,1.559171817016178e-09,0
1.578721331738869e-09,0.01369440397877546,1.578721331738869e-09,4.801536560727013,1.578721331738869e-09,0
1.602849354974686e-09,0.01059053258765545,1.602849354974686e-09,4.842773852327339,1.602849354974686e-09,0
1.640051468270832e-09,0.007188781607631024,1.640051468270832e-09,4.890075667706368,1.640051468270832e-09,0
1.666452193669397e-09,0.00549155858910362,1.666452193669397e-09,4.914260769499577,1.666452193669397e-09,0
1.69231473590183e-09,0.004230200962543929,1.69231473590183e-09,4.932345750071041,1.69231473590183e-09,0
1.723206720656896e-09,0.00309666903332624,1.723206720656896e-09,4.948639878452236,1.723206720656896e-09,0
1.757768857969916e-09,0.002182571490872957,1.757768857969916e-09,4.961887223007393,1.757768857969916e-09,0
