/o1 X,/o1 Y,/net09 X,/net09 Y,/net1 X,/net1 Y
0,1.704906604913457e-08,0,4.999999989169326,0,0
2.5e-11,1.704906618434937e-08,2.5e-11,4.999999989169326,2.5e-11,0
7.5e-11,1.704906618051894e-08,7.5e-11,4.999999989169326,7.5e-11,0
1.75e-10,1.704906559741798e-08,1.75e-10,4.999999989169327,1.75e-10,0
3.749999999999999e-10,1.704906579446844e-08,3.749999999999999e-10,4.999999989169326,3.749999999999999e-10,0
6.25e-10,1.70490666086034e-08,6.25e-10,4.999999989169326,6.25e-10,0
8.125e-10,1.704906662540331e-08,8.125e-10,4.999999989169326,8.125e-10,0
1e-09,1.704906652844042e-08,1e-09,4.999999989169325,1e-09,0
1.000038726150484e-09,5.767895239824968e-05,1.000038726150484e-09,5.000273116361494,1.000038726150484e-09,0.001936307524204584
1.000067793867445e-09,0.0001009075209336244,1.000067793867445e-09,5.000478038289303,1.000067793867445e-09,0.003389693372268936
1.000125929301368e-09,0.0001871580442034627,1.000125929301368e-09,5.00088754258226,1.000125929301368e-09,0.00629646506839764
1.000242200169213e-09,0.0003587780078470888,1.000242200169213e-09,5.001705102859263,1.000242200169213e-09,0.01211000846065505
1.000474741904903e-09,0.0006984741486772671,1.000474741904903e-09,5.003334384662724,1.000474741904903e-09,0.02373709524516987
1.000939825376284e-09,0.001363867661707302,1.000939825376284e-09,5.006569767615466,1.000939825376284e-09,0.0469912688141995
1.001869992319045e-09,0.00264029744734052,1.001869992319045e-09,5.012949607459015,1.001869992319045e-09,0.09349961595225878
1.003730326204568e-09,0.004988408467897119,1.003730326204568e-09,5.025359828947884,1.003730326204568e-09,0.1865163102283773
1.005820836680182e-09,0.007325524457787902,1.005820836680182e-09,5.038777805894622,1.005820836680182e-09,0.2910418340090722
1.008008028951253e-09,0.009460893182455245,1.008008028951253e-09,5.052258300665319,1.008008028951253e-09,0.4004014475626309
1.010319689206204e-09,0.01141766327308875,1.010319689206204e-09,5.065971786129424,1.010319689206204e-09,0.5159844603101725
1.012588857604159e-09,0.01316204503426749,1.012588857604159e-09,5.079394917240695,1.012588857604159e-09,0.6294428802079696
1.014237597969264e-09,0.01447898077717692,1.014237597969264e-09,5.08986860090595,1.014237597969264e-09,0.7118798984631768
1.015451105391418e-09,0.01543284230758037,1.015451105391418e-09,5.097763460958032,1.015451105391418e-09,0.772555269570899
1.016914768757265e-09,0.01644468077370836,1.016914768757265e-09,5.10689903114882,1.016914768757265e-09,0.8457384378632391
1.018029878462295e-09,0.01707991473658375,1.018029878462295e-09,5.113391597641694,1.018029878462295e-09,0.9014939231147238
1.019402215366697e-09,0.01768716702045343,1.019402215366697e-09,5.120721386352804,1.019402215366697e-09,0.9701107683348718
1.021590470065529e-09,0.0182572722322515,1.021590470065529e-09,5.130771787864913,1.021590470065529e-09,1.07952350327646
1.025966979463193e-09,0.01802813512695231,1.025966979463193e-09,5.144503472125154,1.025966979463193e-09,1.298348973159636
1.029066687274384e-09,0.01685204496312458,1.029066687274384e-09,5.14900259209367,1.029066687274384e-09,1.453334363719198
1.031774029195038e-09,0.01520928771710829,1.031774029195038e-09,5.149350878206616,1.031774029195038e-09,1.588701459751891
1.03448975786512e-09,0.01304885456685082,1.03448975786512e-09,5.146333599739181,1.03448975786512e-09,1.724487893255998
1.037159521519069e-09,0.01047927137879817,1.037159521519069e-09,5.140083301580478,1.037159521519069e-09,1.857976075953452
1.039893717965094e-09,0.007440764353966707,1.039893717965094e-09,5.130315426175654,1.039893717965094e-09,1.994685898254705
1.042738130635456e-09,0.003891955237648542,1.042738130635456e-09,5.116545937941984,1.042738130635456e-09,2.136906531772811
1.045712257688261e-09,-0.0002035310335317653,1.045712257688261e-09,5.098215415035871,1.045712257688261e-09,2.285612884413027
1.048013277820964e-09,-0.003768157212682991,1.048013277820964e-09,5.081278132894683,1.048013277820964e-09,2.400663891048198
1.049889887939828e-09,-0.006816370026066862,1.049889887939828e-09,5.065667692727787,1.049889887939828e-09,2.494494396991376
1.051510390565911e-09,-0.009543529708289063,1.051510390565911e-09,5.050879247275677,1.051510390565911e-09,2.575519528295525
1.054751395818076e-09,-0.01524281805792758,1.054751395818076e-09,5.017613003935833,1.054751395818076e-09,2.73756979090382
1.057536359039782e-09,-0.02032539998321741,1.057536359039782e-09,4.98535502404892,1.057536359039782e-09,2.876817951989099
1.060071986214489e-09,-0.02508536239643983,1.060071986214489e-09,4.953044145429682,1.060071986214489e-09,3.003599310724447
1.06273928503402e-09,-0.0303384862979883,1.06273928503402e-09,4.915433630075314,1.06273928503402e-09,3.136964251700991
1.065168037710584e-09,-0.03537214571564483,1.065168037710584e-09,4.877716104112021,1.065168037710584e-09,3.258401885529197
1.068731794447367e-09,-0.04331894296175747,1.068731794447367e-09,4.815508161302351,1.068731794447367e-09,3.436589722368345
1.07188053228861e-09,-0.05124444238058172,1.07188053228861e-09,4.751736673373435,1.07188053228861e-09,3.594026614430514
1.07409821550161e-09,-0.05774065671804797,1.07409821550161e-09,4.699644773634082,1.07409821550161e-09,3.704910775080498
1.075812506913861e-09,-0.06326530945463182,1.075812506913861e-09,4.655177023049324,1.075812506913861e-09,3.790625345693054
1.077621269081038e-09,-0.06936782694340703,1.077621269081038e-09,4.605096403696757,1.077621269081038e-09,3.881063454051919
1.079337965204752e-09,-0.07534208106046264,1.079337965204752e-09,4.554881453106749,1.079337965204752e-09,3.9668982602376
