/o1 X,/o1 Y,/net09 X,/net09 Y,/net1 X,/net1 Y
0,1.704906604913457e-08,0,4.999999989169326,0,0
2.5e-11,1.704906618885976e-08,2.5e-11,4.999999989169326,2.5e-11,0
7.5e-11,1.704906619804357e-08,7.5e-11,4.999999989169326,7.5e-11,0
1.75e-10,1.70490655815023e-08,1.75e-10,4.999999989169326,1.75e-10,0
3.749999999999999e-10,1.704906599104311e-08,3.749999999999999e-10,4.999999989169327,3.749999999999999e-10,0
6.25e-10,1.704906630222902e-08,6.25e-10,4.999999989169327,6.25e-10,0
8.125e-10,1.704906623013432e-08,8.125e-10,4.999999989169325,8.125e-10,0
1e-09,1.704906662383661e-08,1e-09,4.999999989169325,1e-09,0
1.000038726150484e-09,3.788447439659492e-05,1.000038726150484e-09,5.000179356456915,1.000038726150484e-09,0.001936307524204584
1.000067793867445e-09,6.627644093735167e-05,1.000067793867445e-09,5.000313947791939,1.000067793867445e-09,0.003389693372268936
1.000125929301368e-09,0.0001229375424470441,1.000125929301368e-09,5.000582970459228,1.000125929301368e-09,0.00629646506839764
1.000242200169213e-09,0.000235736106473859,1.000242200169213e-09,5.001120334123535,1.000242200169213e-09,0.01211000846065505
1.000474741904903e-09,0.0004592264324408484,1.000474741904903e-09,5.002192312526982,1.000474741904903e-09,0.02373709524516987
1.000939825376284e-09,0.0008978777893104256,1.000939825376284e-09,5.004325343942758,1.000939825376284e-09,0.0469912688141995
1.001869992319045e-09,0.001742781925413185,1.001869992319045e-09,5.008548455234028,1.001869992319045e-09,0.09349961595225878
1.003730326204568e-09,0.0033101205558414,1.003730326204568e-09,5.016828853327046,1.003730326204568e-09,0.1865163102283773
1.006165429499825e-09,0.005134227847161748,1.006165429499825e-09,5.027350334970476,1.006165429499825e-09,0.3082714749912541
1.008720499216712e-09,0.006798083071140891,1.008720499216712e-09,5.03803154275366,1.008720499216712e-09,0.4360249608356088
1.011387393991816e-09,0.008311217565094292,1.011387393991816e-09,5.048915552187682,1.011387393991816e-09,0.5693696995908057
1.012857372386224e-09,0.009115529915996295,1.012857372386224e-09,5.055102052123389,1.012857372386224e-09,0.6428686193111856
1.01426565166899e-09,0.009924090340847111,1.01426565166899e-09,5.061426130368061,1.01426565166899e-09,0.7132825834494777
1.015640683977055e-09,0.01069550553864414,1.015640683977055e-09,5.067718558202066,1.015640683977055e-09,0.782034198852735
1.016924610514055e-09,0.01133710952465755,1.016924610514055e-09,5.073390535931345,1.016924610514055e-09,0.8462305257027475
1.018086341966503e-09,0.01183025574109699,1.018086341966503e-09,5.078233551786858,1.018086341966503e-09,0.9043170983251561
1.019608457171216e-09,0.01234020875264044,1.019608457171216e-09,5.084079547802418,1.019608457171216e-09,0.9804228585608142
1.021983466804126e-09,0.01282580630242734,1.021983466804126e-09,5.091954715241185,1.021983466804126e-09,1.099173340206289
1.026733486069945e-09,0.01273073141377216,1.026733486069945e-09,5.10279446118031,1.026733486069945e-09,1.336674303497238
1.030294950985556e-09,0.01180065316417258,1.030294950985556e-09,5.106482121554549,1.030294950985556e-09,1.514747549277808
1.033358756024061e-09,0.01047137335269177,1.033358756024061e-09,5.106537657216077,1.033358756024061e-09,1.667937801203023
1.03639490030807e-09,0.008724357849073119,1.03639490030807e-09,5.103707786070342,1.03639490030807e-09,1.81974501540351
