/net010 X,/net010 Y,/o1 X,/o1 Y,/net1 X,/net1 Y
0,4.999999981631962,0,1.704906655848801e-08,0,0
2.5e-11,4.999999981631962,2.5e-11,1.704906651917254e-08,2.5e-11,0
7.5e-11,4.999999981631961,7.5e-11,1.704906632232197e-08,7.5e-11,0
1.75e-10,4.999999981631961,1.75e-10,1.704906589614172e-08,1.75e-10,0
3.749999999999999e-10,4.999999981631961,3.749999999999999e-10,1.70490664693739e-08,3.749999999999999e-10,0
6.25e-10,4.999999981631961,6.25e-10,1.704906668393531e-08,6.25e-10,0
8.125e-10,4.999999981631962,8.125e-10,1.704906656924185e-08,8.125e-10,0
1e-09,4.999999981631962,1e-09,1.704906658898137e-08,1e-09,0
1.000049164419211e-09,5.000207421319375,1.000049164419211e-09,4.379304278637533e-05,1.000049164419211e-09,0.002458220960538196
1.000083734786125e-09,5.000353230694543,1.000083734786125e-09,7.453384958768547e-05,1.000083734786125e-09,0.004186739306253255
1.000152875519954e-09,5.000644643906047,1.000152875519954e-09,0.00013585773729072,1.000152875519954e-09,0.007643775997683371
1.000291156987611e-09,5.001226592507289,1.000291156987611e-09,0.0002578316793724036,1.000291156987611e-09,0.0145578493805436
1.000567719922925e-09,5.002386951134612,1.000567719922925e-09,0.0004990708028025895,1.000567719922925e-09,0.02838599614626407
1.001120845793554e-09,5.004693629150593,1.001120845793554e-09,0.0009708684689866345,1.001120845793554e-09,0.05604228967770501
1.002227097534812e-09,5.009251995180104,1.002227097534812e-09,0.001873147454175506,1.002227097534812e-09,0.1113548767405869
1.004439601017327e-09,5.018157987807315,1.004439601017327e-09,0.003523220505270814,1.004439601017327e-09,0.2219800508663506
1.006975618073404e-09,5.0280395146234,1.006975618073404e-09,0.005182501659891385,1.006975618073404e-09,0.3487809036702082
1.009616493447991e-09,5.037983607208296,1.009616493447991e-09,0.006673963217297896,1.009616493447991e-09,0.4808246723995611
1.012410172579961e-09,5.048149294039366,1.012410172579961e-09,0.008020116161935126,1.012410172579961e-09,0.6205086289980666
1.015328222324597e-09,5.058444591708534,1.015328222324597e-09,0.00921064106457071,1.015328222324597e-09,0.7664111162298424
1.017281716615105e-09,5.065384697780487,1.017281716615105e-09,0.009941282976561936,1.017281716615105e-09,0.8640858307552265
1.019199627974178e-09,5.07264837857499,1.019199627974178e-09,0.01069535940982704,1.019199627974178e-09,0.9599813987088854
1.020787764969595e-09,5.078747412292168,1.020787764969595e-09,0.01129491945485353,1.020787764969595e-09,1.039388248479733
1.022353444836279e-09,5.08450712823099,1.022353444836279e-09,0.01179844907383968,1.022353444836279e-09,1.11767224181395
1.023769252591009e-09,5.089400327492665,1.023769252591009e-09,0.01216254460423869,1.023769252591009e-09,1.188462629550441
