/O X,/O Y,/net8 X,/net8 Y,/net3 X,/net3 Y
0,4.999999981632027,0,1.413849256083952e-08,0,5
2.5e-11,4.999999981631999,2.5e-11,1.413848908097098e-08,2.5e-11,5
7.5e-11,4.999999981631976,7.5e-11,1.413848821687033e-08,7.5e-11,5
1.75e-10,4.999999981631961,1.75e-10,1.413848996365069e-08,1.75e-10,5
3.749999999999999e-10,4.999999981631959,3.749999999999999e-10,1.413849315848179e-08,3.749999999999999e-10,5
6.25e-10,4.999999981631961,6.25e-10,1.413849304296741e-08,6.25e-10,5
8.125e-10,4.999999981631962,8.125e-10,1.41384923608073e-08,8.125e-10,5
1e-09,4.999999981631962,1e-09,1.413849156718719e-08,1e-09,5
1.000805189980189e-09,4.999611658008869,1.000805189980189e-09,-0.001858141682671941,1.000805189980189e-09,4.95974050099057
1.001416579376246e-09,4.999322454966031,1.001416579376246e-09,-0.003259912719999068,1.001416579376246e-09,4.929171031187705
1.002639358168361e-09,4.998765850411462,1.002639358168361e-09,-0.006027838278544507,1.002639358168361e-09,4.868032091581976
1.00417719273427e-09,4.99810792518343,1.00417719273427e-09,-0.009439204512113763,1.00417719273427e-09,4.791140363286485
1.00725286186609e-09,4.9969241628245,1.00725286186609e-09,-0.01603687159504555,1.00725286186609e-09,4.637356906695501
1.012229390531222e-09,4.995337178411754,1.012229390531222e-09,-0.02612745882080185,1.012229390531222e-09,4.388530473438919
1.014313371837709e-09,4.994783674753358,1.014313371837709e-09,-0.03014990222013152,1.014313371837709e-09,4.284331408114573
1.016370175203685e-09,4.994294111173026,1.016370175203685e-09,-0.03401161736883874,1.016370175203685e-09,4.181491239815769
1.018470290447763e-09,4.993846674522801,1.018470290447763e-09,-0.0378509960143773,1.018470290447763e-09,4.076485477611845
1.02008683225799e-09,4.993535582483389,1.02008683225799e-09,-0.04073872008600697,1.02008683225799e-09,3.995658387100485
1.022007740844619e-09,4.993200300909102,1.022007740844619e-09,-0.04409834717662021,1.022007740844619e-09,3.899612957769035
1.024882210954691e-09,4.99276117947442,1.024882210954691e-09,-0.04899080530458295,1.024882210954691e-09,3.755889452265468
1.028351002173816e-09,4.99231931543449,1.028351002173816e-09,-0.05469862918614499,1.028351002173816e-09,3.582449891309206
1.032149705063471e-09,4.991930017529925,1.032149705063471e-09,-0.06073120452196648,1.032149705063471e-09,3.392514746826451
1.036203267623916e-09,4.991604855838952,1.036203267623916e-09,-0.06695432638375774,1.036203267623916e-09,3.189836618804207
1.040519059389305e-09,4.991340217118001,1.040519059389305e-09,-0.0733833345357596,1.040519059389305e-09,2.974047030534735
1.045172491107414e-09,4.991125812910376,1.045172491107414e-09,-0.0801471836828782,1.045172491107414e-09,2.74137544462929
1.050292747295023e-09,4.990947602339515,1.050292747295023e-09,-0.08746927762666447,1.050292747295023e-09,2.485362635248834
1.056118820715571e-09,4.990782828920314,1.056118820715571e-09,-0.09577415215107726,1.056118820715571e-09,2.194058964221475
1.062836475524959e-09,4.990584106969043,1.062836475524959e-09,-0.1055796666440098,1.062836475524959e-09,1.858176223752066
1.064509499656936e-09,4.99048968784628,1.064509499656936e-09,-0.1082713694899729,1.064509499656936e-09,1.774525017153179
1.066030154183349e-09,4.990275681883841,1.066030154183349e-09,-0.1113521591487294,1.066030154183349e-09,1.698492290832561
1.067545915590743e-09,4.989841246664795,1.067545915590743e-09,-0.1155282546060067,1.067545915590743e-09,1.622704220462862
1.068773100206881e-09,4.989375945786248,1.068773100206881e-09,-0.1195158098364752,1.068773100206881e-09,1.561344989655966
1.070187075380854e-09,4.988811035628427,1.070187075380854e-09,-0.1243446792321622,1.070187075380854e-09,1.490646230957308
1.071391361117505e-09,4.98834621520124,1.071391361117505e-09,-0.1284675282209012,1.071391361117505e-09,1.430431944124738
1.072804341042534e-09,4.987844198006597,1.072804341042534e-09,-0.1331989851319336,1.072804341042534e-09,1.359782947873327
1.074691239964928e-09,4.987273008580654,1.074691239964928e-09,-0.1391977318077333,1.074691239964928e-09,1.265438001753591
1.076955254205065e-09,4.986772257901515,1.076955254205065e-09,-0.1457045278388486,1.076955254205065e-09,1.152237289746744
1.079400320312903e-09,4.986501889637241,1.079400320312903e-09,-0.1516011262828915,1.079400320312903e-09,1.029983984354875
1.081887547348995e-09,4.986558976505431,1.081887547348995e-09,-0.1560857179159729,1.081887547348995e-09,0.9056226325502719
1.084428616032182e-09,4.987009871181292,1.084428616032182e-09,-0.1587425077537897,1.084428616032182e-09,0.7785691983909189
